,À¥Å÷ Á¦¸ñ,È¸Â÷ Á¦¸ñ,È¸Â÷,µî·ÏÀÏ,Á¶È¸¼ö,È¸Â÷º° º°Á¡,º°Á¡ Âü¿©ÀÎ¿ø¼ö,ÁÁ¾Æ¿ä¼ö,´ñ±Û¼ö,Á¤½Ä¿¬Àç,Á¶È¸¼ö ´ëºñ º°Á¡Âü¿©,Á¶È¸¼ö ´ëºñ ÁÁ¾Æ¿ä,¿¡ÇÇ¼Òµå,¿È´Ï¹ö½º,½ºÅä¸®,ÀÏ»ó,°³±×,ÆÇÅ¸Áö,¾×¼Ç,µå¶ó¸¶,¼øÁ¤,°¨¼º,½º¸±·¯,½Ã´ë±Ø,½ºÆ÷Ã÷
37,¿¬³ð,3È­. 3³â.. ¿©ÀüÈ÷ ´Ù¸¥ ¿ì¸® (3),3,2014.10.24,372339,9.81,3162,1734,254,1,8.492261,4.657046,0,0,1,1,0,0,0,0,0,1,0,0,0
38,¿¬³ð,"4È­. ¸¶À½¿¡µµ ¾ø´Â, ¾Æ´Ï ¾ø±æ ¹Ù¶ó´Â ¸».",4,2014.10.31,273925,9.81,3075,1599,203,1,11.2257,5.837364,0,0,1,1,0,0,0,0,0,1,0,0,0
39,¿¬³ð,5È­. ¿À´Ã ¹¹ÇØ?,5,2014.11.07,227458,9.81,3037,1630,301,1,13.351916,7.166158,0,0,1,1,0,0,0,0,0,1,0,0,0
40,#»ìÀÎ½ºÅ¸±×·¥,ÇÁ·Ñ·Î±×,1,2018.10.19,335457,9.51,758,637,35,1,2.259604,1.898902,0,0,1,0,0,0,0,1,0,0,1,0,0
41,#»ìÀÎ½ºÅ¸±×·¥,1È­,2,2018.10.26,335270,9.57,689,493,51,1,2.05506,1.470457,0,0,1,0,0,0,0,1,0,0,1,0,0
42,#»ìÀÎ½ºÅ¸±×·¥,2È­,3,2018.11.02,250998,9.59,624,340,67,1,2.486076,1.354592,0,0,1,0,0,0,0,1,0,0,1,0,0
43,#»ìÀÎ½ºÅ¸±×·¥,3È­,4,2018.11.09,214372,9.63,611,320,57,1,2.850186,1.492732,0,0,1,0,0,0,0,1,0,0,1,0,0
44,#»ìÀÎ½ºÅ¸±×·¥,4È­,5,2018.11.16,218042,9.67,610,322,93,1,2.797626,1.47678,0,0,1,0,0,0,0,1,0,0,1,0,0
45,¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,1È­,1,2017.05.31,349733,9.74,1316,627,133,1,3.762871,1.792796,0,0,1,1,0,0,0,0,1,0,0,0,0
46,¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,2È­,2,2017.06.08,256414,9.77,1078,515,56,1,4.204139,2.008471,0,0,1,1,0,0,0,0,1,0,0,0,0
47,¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,3È­,3,2017.06.15,218442,9.79,1023,458,43,1,4.683165,2.096666,0,0,1,1,0,0,0,0,1,0,0,0,0
48,¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,4È­,4,2017.06.22,205051,9.81,1055,458,66,1,5.145061,2.233591,0,0,1,1,0,0,0,0,1,0,0,0,0
49,¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,5È­,5,2017.06.29,212468,9.77,957,445,63,1,4.504208,2.094433,0,0,1,1,0,0,0,0,1,0,0,0,0
