,À¥Å÷ Á¦¸ñ,È¸Â÷ Á¦¸ñ,È¸Â÷,µî·ÏÀÏ,Á¶È¸¼ö,È¸Â÷º° º°Á¡,º°Á¡ Âü¿©ÀÎ¿ø¼ö,ÁÁ¾Æ¿ä¼ö,´ñ±Û¼ö,Á¤½Ä¿¬Àç,Á¶È¸¼ö ´ëºñ º°Á¡Âü¿©,Á¶È¸¼ö ´ëºñ ÁÁ¾Æ¿ä,¿¡ÇÇ¼Òµå,¿È´Ï¹ö½º,½ºÅä¸®,ÀÏ»ó,°³±×,ÆÇÅ¸Áö,¾×¼Ç,µå¶ó¸¶,¼øÁ¤,°¨¼º,½º¸±·¯,½Ã´ë±Ø,½ºÆ÷Ã÷
629,±×³à´Â Èí!Ç÷±Í,ÇÑ¹æ¿ï,1,2012.02.14,11234,9.7,1340,23,445,1,119.280755,2.047356,0,0,1,0,0,0,0,0,1,0,0,0,0
630,±×³à´Â Èí!Ç÷±Í,µÎ¹æ¿ï,2,2012.02.20,5983,9.77,1072,9,89,1,179.174327,1.504262,0,0,1,0,0,0,0,0,1,0,0,0,0
631,±×³à´Â Èí!Ç÷±Í,¼¼¹æ¿ï,3,2012.02.29,3480,9.83,1087,7,227,1,312.356322,2.011494,0,0,1,0,0,0,0,0,1,0,0,0,0
632,±×³à´Â Èí!Ç÷±Í,³×¹æ¿ï,4,2012.03.14,2513,9.82,954,6,149,1,379.625945,2.387585,0,0,1,0,0,0,0,0,1,0,0,0,0
633,±×³à´Â Èí!Ç÷±Í,´Ù¼¸¹æ¿ï,5,2012.03.28,2413,9.84,952,4,120,1,394.529631,1.657688,0,0,1,0,0,0,0,0,1,0,0,0,0
634,Æ®·³ÇÁ(Trump),Prologue,1,2011.06.24,25607,9.72,6486,57,1451,1,253.290116,2.225954,0,0,1,0,1,1,0,0,0,0,0,0,0
635,Æ®·³ÇÁ(Trump),Episode1-01,2,2011.07.01,15839,9.73,6427,24,818,1,405.770566,1.515247,0,0,1,0,1,1,0,0,0,0,0,0,0
636,Æ®·³ÇÁ(Trump),Episode1-02,3,2011.07.08,7431,9.71,5878,14,745,1,791.010631,1.883999,0,0,1,0,1,1,0,0,0,0,0,0,0
637,Æ®·³ÇÁ(Trump),Episode1-03,4,2011.07.15,2888,9.73,5847,10,962,1,2024.584488,3.462604,0,0,1,0,1,1,0,0,0,0,0,0,0
638,Æ®·³ÇÁ(Trump),Episode1-04,5,2011.07.22,1669,9.77,6064,8,673,1,3633.313361,4.793289,0,0,1,0,1,1,0,0,0,0,0,0,0
639,DEAD DAYS,-¿¹°í-,1,2014.02.10,5992,9.67,1315,652,138,1,219.459279,108.811749,0,0,1,0,0,0,1,0,0,0,1,0,0
640,DEAD DAYS,Intro,2,2014.03.09,4389,9.74,1593,631,228,1,362.952837,143.768512,0,0,1,0,0,0,1,0,0,0,1,0,0
641,DEAD DAYS,Prologue,3,2014.03.16,2285,9.77,1732,573,192,1,757.986871,250.765864,0,0,1,0,0,0,1,0,0,0,1,0,0
642,DEAD DAYS,1,4,2014.03.22,3315,9.74,1594,568,260,1,480.844646,171.342383,0,0,1,0,0,0,1,0,0,0,1,0,0
643,DEAD DAYS,2,5,2014.03.29,1691,9.86,3142,1468,430,1,1858.072147,868.12537,0,0,1,0,0,0,1,0,0,0,1,0,0
644,¸ðµÎ¿¡°Ô ¿ÏÀÚ°¡,¾È³çÇÏ¼¼¿ä ¿ÏÀÚ¿¹¿ä,1,2012.01.01,14985,9.68,1019,53,59,1,68.001335,3.53687,1,0,0,0,0,0,0,0,0,0,0,0,0
645,¸ðµÎ¿¡°Ô ¿ÏÀÚ°¡,½±Áö¾Ê¾Æ,2,2012.01.09,9880,9.69,925,34,49,1,93.623482,3.441296,1,0,0,0,0,0,0,0,0,0,0,0,0
646,¸ðµÎ¿¡°Ô ¿ÏÀÚ°¡,Æò¹üÇÏÁö..¾ÊÀº°¡??,3,2012.01.15,5637,9.66,864,13,45,1,153.273018,2.306191,1,0,0,0,0,0,0,0,0,0,0,0,0
647,¸ðµÎ¿¡°Ô ¿ÏÀÚ°¡,¾îÂ¼´Ùº¸´Ï,4,2012.01.22,2316,9.72,897,14,110,1,387.305699,6.044905,1,0,0,0,0,0,0,0,0,0,0,0,0
648,¸ðµÎ¿¡°Ô ¿ÏÀÚ°¡,º®Àå¼Ó¿¡¼­,5,2012.01.29,1163,9.69,925,9,159,1,795.356836,7.738607,1,0,0,0,0,0,0,0,0,0,0,0,0
649,¾Æºü¸¦ Ã£½À´Ï´Ù.,³³Ä¡,1,2012.04.11,18327,9.65,2306,34,466,1,125.825285,1.855186,0,0,1,0,0,0,0,1,1,0,0,0,0
650,¾Æºü¸¦ Ã£½À´Ï´Ù.,2È­ÀÔ´Ï´Ù.,2,2012.04.17,8628,9.71,2193,19,516,1,254.172462,2.202133,0,0,1,0,0,0,0,1,1,0,0,0,0
651,¾Æºü¸¦ Ã£½À´Ï´Ù.,3È­ÀÔ´Ï´Ù~,3,2012.04.20,3601,9.74,2342,6,774,1,650.374896,1.666204,0,0,1,0,0,0,0,1,1,0,0,0,0
652,¾Æºü¸¦ Ã£½À´Ï´Ù.,Àç¹Õ°Ô ºÁÁÖ¼¼¿ä~,4,2012.04.27,2305,9.77,2161,7,613,1,937.527115,3.036876,0,0,1,0,0,0,0,1,1,0,0,0,0
653,¾Æºü¸¦ Ã£½À´Ï´Ù.,5È­ÀÔ´Ï´Ù~,5,2012.05.04,1560,9.78,2194,4,690,1,1406.410256,2.564103,0,0,1,0,0,0,0,1,1,0,0,0,0
654,½ÇÁú°´°üµ¿È­,½ÇÁú°´°üµ¿È­1.¼¼ÀÏ·¯¹®,1,2008.12.10,9172,9.71,1714,51,866,1,186.873092,5.560401,0,1,0,0,0,0,0,0,0,0,0,0,0
655,½ÇÁú°´°üµ¿È­,½ÇÁú°´°üµ¿È­02.ÈïºÎ¿Í ³îºÎ,2,2008.12.10,6014,9.72,1305,63,315,1,216.993681,10.475557,0,1,0,0,0,0,0,0,0,0,0,0,0
656,½ÇÁú°´°üµ¿È­,½ÇÁú°´°üµ¿È­ 03.´Á´ë¿ÍÀÏ°ö¸¶¸®¾Æ±â¿°¼Ò,3,2008.12.10,5079,9.61,1020,45,373,1,200.826934,8.860012,0,1,0,0,0,0,0,0,0,0,0,0,0
657,½ÇÁú°´°üµ¿È­,½ÇÁú°´°üµ¿È­04.¹ú°Å¹þÀº ÀÓ±Ý´Ô,4,2008.12.11,5154,9.55,979,40,278,1,189.949554,7.760962,0,1,0,0,0,0,0,0,0,0,0,0,0
658,½ÇÁú°´°üµ¿È­,½ÇÁú°´°üµ¿È­Å©¸®½º¸¶½ºSP.´«»ç¶÷ ¾ÆÀú¾¾,5,2008.12.16,3845,9.76,1821,38,1654,1,473.602081,9.882965,0,1,0,0,0,0,0,0,0,0,0,0,0
659,µ¶½ÅÀ¸·Î »ì°Ú´Ù,1È­ 35¼¼ ÀÚ¹ßÀû µ¶½Å?,1,2012.10.26,8386,9.67,709,14,116,1,84.545671,1.669449,0,0,1,0,0,0,0,1,1,0,0,0,0
660,µ¶½ÅÀ¸·Î »ì°Ú´Ù,2È­ ÃÊµùÀÇ Àç¹ß°ß,2,2012.11.02,3880,9.71,698,13,135,1,179.896907,3.350515,0,0,1,0,0,0,0,1,1,0,0,0,0
661,µ¶½ÅÀ¸·Î »ì°Ú´Ù,3È­ µ¶½Å³àµéÀÇ ¼ö´Ù,3,2012.11.08,1960,9.79,646,11,124,1,329.591837,5.612245,0,0,1,0,0,0,0,1,1,0,0,0,0
662,µ¶½ÅÀ¸·Î »ì°Ú´Ù,4È­ Ã»¼Ò³âÀÇ »ç»ýÈ°,4,2012.11.15,1457,9.74,603,7,181,1,413.864104,4.804393,0,0,1,0,0,0,0,1,1,0,0,0,0
663,µ¶½ÅÀ¸·Î »ì°Ú´Ù,5È­ ½Î¿òÀÇ ±â¼ú,5,2012.11.23,1547,9.71,570,4,103,1,368.455074,2.58565,0,0,1,0,0,0,0,1,1,0,0,0,0
664,Å©¸®ÆÛ½ºÅ§(Crepuscule),Å©¸®ÆÛ½ºÅ§ ¿¹°íÆí,1,2009.11.24,13011,9.5,2513,50,2098,1,193.144263,3.842902,0,0,1,0,0,0,0,0,0,0,0,0,0
665,Å©¸®ÆÛ½ºÅ§(Crepuscule),Å©¸®ÆÛ½ºÅ§ 1È­,2,2009.12.19,10395,9.67,3482,29,3149,1,334.968735,2.789803,0,0,1,0,0,0,0,0,0,0,0,0,0
666,Å©¸®ÆÛ½ºÅ§(Crepuscule),Å©¸®ÆÛ½ºÅ§ 2È­,3,2009.12.30,5552,9.68,3258,18,2468,1,586.815562,3.242075,0,0,1,0,0,0,0,0,0,0,0,0,0
667,Å©¸®ÆÛ½ºÅ§(Crepuscule),Å©¸®ÆÛ½ºÅ§ 3È­,4,2010.01.07,2896,9.68,3268,11,2463,1,1128.453039,3.798343,0,0,1,0,0,0,0,0,0,0,0,0,0
668,Å©¸®ÆÛ½ºÅ§(Crepuscule),Å©¸®ÆÛ½ºÅ§ 4È­,5,2010.01.15,3021,9.69,3360,12,2656,1,1112.214499,3.972195,0,0,1,0,0,0,0,0,0,0,0,0,0
669,´õ °ÔÀÌ¸Ó,Ã©ÅÍ 1 ¸Ó¸® À§ÀÇ Äù½ºÆ® 1È­,1,2012.07.12,19831,9.78,4313,41,968,1,217.487772,2.06747,0,0,1,0,0,1,1,0,0,0,0,0,0
670,´õ °ÔÀÌ¸Ó,Ã©ÅÍ 1 ¸Ó¸® À§ÀÇ Äù½ºÆ® 2È­,2,2012.07.20,13367,9.82,3824,35,437,1,286.077654,2.618389,0,0,1,0,0,1,1,0,0,0,0,0,0
671,´õ °ÔÀÌ¸Ó,Ã©ÅÍ 1 ¸Ó¸® À§ÀÇ Äù½ºÆ® 3È­,3,2012.07.27,9026,9.83,3576,9,256,1,396.188788,0.997119,0,0,1,0,0,1,1,0,0,0,0,0,0
672,´õ °ÔÀÌ¸Ó,Ã©ÅÍ 1 ¸Ó¸® À§ÀÇ Äù½ºÆ® 4È­,4,2012.08.12,6209,9.83,3358,9,277,1,540.827831,1.449509,0,0,1,0,0,1,1,0,0,0,0,0,0
673,´õ °ÔÀÌ¸Ó,Ã©ÅÍ 1 ¸Ó¸® À§ÀÇ Äù½ºÆ® 5È­,5,2012.08.17,4652,9.84,3359,7,410,1,722.05503,1.504729,0,0,1,0,0,1,1,0,0,0,0,0,0
674,¾ÆÀÌµéÀÇ ±Ç ¼±»ý´Ô,ÇÏ ±Ç,1,2011.10.20,12112,9.69,3882,24,415,1,320.508587,1.981506,0,1,0,0,0,0,0,0,0,0,0,0,0
675,¾ÆÀÌµéÀÇ ±Ç ¼±»ý´Ô,"°­ »ê,Â÷½Ã·ç",2,2011.10.26,4416,9.71,3819,17,340,1,864.809783,3.849638,0,1,0,0,0,0,0,0,0,0,0,0,0
676,¾ÆÀÌµéÀÇ ±Ç ¼±»ý´Ô,¿¬Àç Áö¿¬ °øÁö,3,2011.11.02,2339,9.62,2726,15,92,1,1165.455323,6.412997,0,1,0,0,0,0,0,0,0,0,0,0,0
677,¾ÆÀÌµéÀÇ ±Ç ¼±»ý´Ô,"¼­ ´ã,¼­ ¼Ø,½Å¼­¸® ±×¸®°í",4,2011.11.08,1828,9.71,3593,8,259,1,1965.536105,4.376368,0,1,0,0,0,0,0,0,0,0,0,0,0
678,¾ÆÀÌµéÀÇ ±Ç ¼±»ý´Ô,´Ù¸¥ ¾î¸¥,5,2011.11.10,1271,9.74,3796,9,520,1,2986.624705,7.081039,0,1,0,0,0,0,0,0,0,0,0,0,0
679,Á»ºñ¸¦ À§ÇÑ ³ª¶ó´Â ¾ø´Ù,1È­,1,2010.09.21,16763,9.49,803,28,148,1,47.90312,1.670345,0,0,1,0,0,0,0,0,0,0,0,0,0
680,Á»ºñ¸¦ À§ÇÑ ³ª¶ó´Â ¾ø´Ù,2È­,2,2010.09.23,9304,9.6,707,31,77,1,75.988822,3.3319,0,0,1,0,0,0,0,0,0,0,0,0,0
681,Á»ºñ¸¦ À§ÇÑ ³ª¶ó´Â ¾ø´Ù,3È­,3,2010.09.24,6195,9.67,705,14,254,1,113.801453,2.259887,0,0,1,0,0,0,0,0,0,0,0,0,0
682,Á»ºñ¸¦ À§ÇÑ ³ª¶ó´Â ¾ø´Ù,4È­,4,2010.09.25,4633,9.62,674,6,135,1,145.478092,1.295057,0,0,1,0,0,0,0,0,0,0,0,0,0
683,Á»ºñ¸¦ À§ÇÑ ³ª¶ó´Â ¾ø´Ù,5È­,5,2010.09.27,3764,9.63,672,8,122,1,178.533475,2.125399,0,0,1,0,0,0,0,0,0,0,0,0,0
684,¶óÀÌÂ¡ÆÐ½ºÆ®º¼,¿¹°íÆí,1,2011.05.04,4762,9.54,369,8,85,1,77.48845,1.679966,0,0,1,0,0,0,0,0,0,0,0,0,0
685,¶óÀÌÂ¡ÆÐ½ºÆ®º¼,Ä³¸¯ÅÍ µµ°¨ 01 °øÀÎ±¸,2,2011.05.06,5245,9.42,452,14,90,1,86.177312,2.669209,0,0,1,0,0,0,0,0,0,0,0,0,0
686,¶óÀÌÂ¡ÆÐ½ºÆ®º¼,1È­,3,2011.05.12,6388,9.51,534,2,144,1,83.594239,0.313087,0,0,1,0,0,0,0,0,0,0,0,0,0
687,¶óÀÌÂ¡ÆÐ½ºÆ®º¼,2È­,4,2011.05.20,4370,9.63,460,2,135,1,105.263158,0.457666,0,0,1,0,0,0,0,0,0,0,0,0,0
688,¶óÀÌÂ¡ÆÐ½ºÆ®º¼,Ä³¸¯ÅÍ µµ°¨ 02 ÃÖ±¤,5,2011.05.27,2730,9.5,286,0,38,1,104.761905,0,0,0,1,0,0,0,0,0,0,0,0,0,0
689,Natural Born Idiots,EP_1,1,2012.02.03,9568,9.74,2792,14,366,1,291.80602,1.463211,1,0,0,0,0,0,0,0,0,0,0,0,0
690,Natural Born Idiots,EP_2,2,2012.02.10,2441,9.75,2588,6,310,1,1060.221221,2.458009,1,0,0,0,0,0,0,0,0,0,0,0,0
691,Natural Born Idiots,EP_3,3,2012.02.17,973,9.75,2553,3,253,1,2623.843782,3.083248,1,0,0,0,0,0,0,0,0,0,0,0,0
692,Natural Born Idiots,EP_4,4,2012.02.24,642,9.75,2680,1,337,1,4174.454829,1.557632,1,0,0,0,0,0,0,0,0,0,0,0,0
693,Natural Born Idiots,EP_5,5,2012.03.02,941,9.77,2581,0,316,1,2742.82678,0,1,0,0,0,0,0,0,0,0,0,0,0,0
694,½ÅÀÇ ¾ð¾î,½Å³»¸² (1),1,2013.06.01,8417,9.73,1423,12,167,1,169.062611,1.425686,0,0,1,0,0,1,0,1,0,0,0,0,0
695,½ÅÀÇ ¾ð¾î,½Å³»¸² (2),2,2013.06.08,3486,9.84,1046,2,97,1,300.057372,0.573723,0,0,1,0,0,1,0,1,0,0,0,0,0
696,½ÅÀÇ ¾ð¾î,ÀüÆÄ (1),3,2013.06.15,1938,9.84,827,3,66,1,426.728586,1.547988,0,0,1,0,0,1,0,1,0,0,0,0,0
697,½ÅÀÇ ¾ð¾î,ÀüÆÄ (2),4,2013.06.22,1279,9.85,851,2,67,1,665.363565,1.563722,0,0,1,0,0,1,0,1,0,0,0,0,0
698,½ÅÀÇ ¾ð¾î,ÀüÆÄ (3),5,2013.06.29,1070,9.87,1068,2,114,1,998.130841,1.869159,0,0,1,0,0,1,0,1,0,0,0,0,0
699,ÆÇ´Ùµ¶,[2day] ÆÇ´Ùµ¶ ÇÁ·»Áî 1È­ - Å»³¯¶ó,1,2007.01.09,13909,9.57,233,52,230,1,16.751743,3.738587,1,0,0,0,0,0,0,0,0,0,0,0,0
700,ÆÇ´Ùµ¶,[2day] ÆÇ´Ùµ¶ ÇÁ·»Áî 2È­ - ÇÑ¼ø°£ÀÇ ²Þ,2,2007.01.09,8454,9.51,183,39,153,1,21.646558,4.613201,1,0,0,0,0,0,0,0,0,0,0,0,0
701,ÆÇ´Ùµ¶,[2day] ÆÇ´Ùµ¶ ÇÁ·»Áî 3È­ - ¾Æ¹«°Å³ª,3,2007.01.10,6873,9.36,177,32,141,1,25.752946,4.6559,1,0,0,0,0,0,0,0,0,0,0,0,0
702,ÆÇ´Ùµ¶,[2day] ÆÇ´Ùµ¶ ÇÁ·»Áî 4È­ - °á½É¸¸ ÇÏ¸é,4,2007.01.10,6256,9.4,172,31,143,1,27.493606,4.955243,1,0,0,0,0,0,0,0,0,0,0,0,0
703,ÆÇ´Ùµ¶,[2day] ÆÇ´Ùµ¶ ÇÁ·»Áî 5È­ - ´ßµÑ±â,5,2007.01.11,5655,9.46,164,24,120,1,29.000884,4.244032,1,0,0,0,0,0,0,0,0,0,0,0,0
704,Å»(TAL),Å»(TAL) [1],1,2009.04.23,16076,9.67,3535,28,2234,1,219.893008,1.741727,0,0,1,0,0,0,0,0,0,0,0,0,0
705,Å»(TAL),Å»(TAL) [2],2,2009.04.29,8715,9.65,3494,33,1914,1,400.917958,3.786575,0,0,1,0,0,0,0,0,0,0,0,0,0
706,Å»(TAL),Å»(TAL) [3],3,2009.05.06,4462,9.66,3051,10,932,1,683.774092,2.241147,0,0,1,0,0,0,0,0,0,0,0,0,0
707,Å»(TAL),Å»(TAL) [4],4,2009.05.11,2562,9.7,3191,10,1237,1,1245.511319,3.903201,0,0,1,0,0,0,0,0,0,0,0,0,0
708,Å»(TAL),Å»(TAL) [5],5,2009.05.23,1676,9.73,3162,9,1240,1,1886.634845,5.369928,0,0,1,0,0,0,0,0,0,0,0,0,0
709,¿ì¹Ù¿ì(¿ì¸®°¡ ¹Ù¶ó´Â ¿ì¸®),#1,1,2014.09.20,14253,9.87,1954,495,88,1,137.093945,34.729531,0,1,0,0,1,0,0,0,0,1,0,0,0
710,¿ì¹Ù¿ì(¿ì¸®°¡ ¹Ù¶ó´Â ¿ì¸®),#2,2,2014.09.21,9304,9.87,1762,434,82,1,189.380911,46.646604,0,1,0,0,1,0,0,0,0,1,0,0,0
711,¿ì¹Ù¿ì(¿ì¸®°¡ ¹Ù¶ó´Â ¿ì¸®),#3,3,2014.09.22,5930,9.86,1534,304,50,1,258.684654,51.264755,0,1,0,0,1,0,0,0,0,1,0,0,0
712,¿ì¹Ù¿ì(¿ì¸®°¡ ¹Ù¶ó´Â ¿ì¸®),#4,4,2014.09.24,4430,9.88,1859,503,59,1,419.638826,113.544018,0,1,0,0,1,0,0,0,0,1,0,0,0
713,¿ì¹Ù¿ì(¿ì¸®°¡ ¹Ù¶ó´Â ¿ì¸®),#5,5,2014.09.26,3786,9.91,2230,512,71,1,589.01215,135.235077,0,1,0,0,1,0,0,0,0,1,0,0,0
714,½É½ÉÇÑ ¸¶¿Õ,#NAME?,1,2011.04.30,11955,9.61,1437,40,1878,1,120.200753,3.34588,0,0,1,0,0,0,0,0,0,0,0,0,0
715,½É½ÉÇÑ ¸¶¿Õ,#NAME?,2,2011.04.30,7568,9.62,1362,12,0,1,179.968288,1.585624,0,0,1,0,0,0,0,0,0,0,0,0,0
716,½É½ÉÇÑ ¸¶¿Õ,#NAME?,3,2011.05.01,3847,9.6,1271,5,0,1,330.387315,1.299714,0,0,1,0,0,0,0,0,0,0,0,0,0
717,½É½ÉÇÑ ¸¶¿Õ,#NAME?,4,2011.05.02,2314,9.63,1250,4,0,1,540.190147,1.728608,0,0,1,0,0,0,0,0,0,0,0,0,0
718,½É½ÉÇÑ ¸¶¿Õ,#NAME?,5,2011.05.02,1767,9.66,1243,4,0,1,703.452179,2.263724,0,0,1,0,0,0,0,0,0,0,0,0,0
719,¾Æ½º¶õ¿µ¿õÀü,01 ·¹µå½ºÅ¸ (1),1,2009.09.09,5367,9.53,262,6,72,1,48.816844,1.117943,0,0,1,0,0,0,0,0,0,0,0,0,0
720,¾Æ½º¶õ¿µ¿õÀü,01 ·¹µå½ºÅ¸ (2),2,2009.09.16,2739,9.31,262,2,39,1,95.655349,0.730194,0,0,1,0,0,0,0,0,0,0,0,0,0
721,¾Æ½º¶õ¿µ¿õÀü,01 ·¹µå½ºÅ¸ (3),3,2009.09.23,1479,9.58,234,2,38,1,158.21501,1.352265,0,0,1,0,0,0,0,0,0,0,0,0,0
722,¾Æ½º¶õ¿µ¿õÀü,01 ·¹µå½ºÅ¸ (4),4,2009.09.30,814,9.51,265,1,42,1,325.552826,1.228501,0,0,1,0,0,0,0,0,0,0,0,0,0
723,¾Æ½º¶õ¿µ¿õÀü,01 ·¹µå½ºÅ¸ (5),5,2009.10.07,528,9.61,231,1,29,1,437.5,1.893939,0,0,1,0,0,0,0,0,0,0,0,0,0
724,»õº®9½Ã,ÇÁ·Ñ·Î±×,1,2012.03.10,5817,9.73,696,6,211,1,119.649304,1.03146,0,0,1,0,0,0,0,0,0,0,1,0,0
725,»õº®9½Ã,1È­ 6½ÃÀÇ ¼Õ´Ô,2,2012.03.16,5763,9.76,646,6,100,1,112.094395,1.041124,0,0,1,0,0,0,0,0,0,0,1,0,0
726,»õº®9½Ã,2È­ ´Ù¼¸ ³ëÀÎ,3,2012.03.21,2682,9.82,600,0,99,1,223.713647,0,0,0,1,0,0,0,0,0,0,0,1,0,0
727,»õº®9½Ã,3È­ Â¡Á¶,4,2012.03.24,772,9.83,592,0,93,1,766.839378,0,0,0,1,0,0,0,0,0,0,0,1,0,0
728,»õº®9½Ã,4È­ Â¡Á¶-2,5,2012.03.29,364,9.83,569,1,81,1,1563.186813,2.747253,0,0,1,0,0,0,0,0,0,0,1,0,0
729,¾ÆÀÌµéÀº Áñ°Ì´Ù,ÀÔÇÐ,1,2013.01.09,6466,9.81,1178,11,113,1,182.18373,1.701206,0,0,1,0,0,0,0,1,0,0,0,0,0
730,¾ÆÀÌµéÀº Áñ°Ì´Ù,2È­,2,2013.01.17,3191,9.81,1164,3,93,1,364.775932,0.940144,0,0,1,0,0,0,0,1,0,0,0,0,0
731,¾ÆÀÌµéÀº Áñ°Ì´Ù,3È­,3,2013.01.26,1528,9.85,1201,2,108,1,785.994764,1.308901,0,0,1,0,0,0,0,1,0,0,0,0,0
732,¾ÆÀÌµéÀº Áñ°Ì´Ù,4È­,4,2013.02.02,761,9.84,1115,1,89,1,1465.177398,1.31406,0,0,1,0,0,0,0,1,0,0,0,0,0
733,¾ÆÀÌµéÀº Áñ°Ì´Ù,5È­,5,2013.02.17,518,9.82,1074,1,76,1,2073.359073,1.930502,0,0,1,0,0,0,0,1,0,0,0,0,0
734,¸ÀÁý³²³à,THE ¸ÀÁýºí·Î°Å KILLER ¸ÀÀºÁ¤,1,2012.06.01,3736,9.5,721,3,212,1,192.987152,0.802998,0,0,1,0,1,0,0,0,0,0,0,0,0
735,¸ÀÁý³²³à,¸À¹«ÇØ ÀüÅõ²¿¾Ë¶ó,2,2012.06.08,1673,9.54,602,2,202,1,359.832636,1.195457,0,0,1,0,1,0,0,0,0,0,0,0,0
736,¸ÀÁý³²³à,ÃòÇÃ¿§Áö¿¡°Ô ´ê±â¸¦,3,2012.06.15,1305,9.5,569,1,211,1,436.015326,0.766284,0,0,1,0,1,0,0,0,0,0,0,0,0
737,¸ÀÁý³²³à,ÃòÇÃ¿§Áö¿¡°Ô ´ê±â¸¦2,4,2012.06.29,647,9.68,768,0,248,1,1187.017002,0,0,0,1,0,1,0,0,0,0,0,0,0,0
738,¸ÀÁý³²³à,µ¥¾² ºí·Î°Å Å°¶ó,5,2012.07.08,448,9.61,655,2,245,1,1462.053571,4.464286,0,0,1,0,1,0,0,0,0,0,0,0,0
739,¹Ù¶÷ÀÌ ¸Ó¹«´Â ³­,ÇÁ·Ñ·Î±×,1,2011.01.19,5690,9.62,2257,29,440,1,396.660808,5.096661,0,0,1,0,0,0,0,0,0,0,0,0,0
740,¹Ù¶÷ÀÌ ¸Ó¹«´Â ³­,[1È­] ¿ëÁÖÀÇ ÁÖÀÎ 1,2,2011.01.22,5101,9.65,2463,17,435,1,482.846501,3.33268,0,0,1,0,0,0,0,0,0,0,0,0,0
741,¹Ù¶÷ÀÌ ¸Ó¹«´Â ³­,[2È­] ¿ëÁÖÀÇ ÁÖÀÎ 2,3,2011.01.29,2905,9.68,2520,6,637,1,867.46988,2.065404,0,0,1,0,0,0,0,0,0,0,0,0,0
742,¹Ù¶÷ÀÌ ¸Ó¹«´Â ³­,[3È­] ¿ëÁÖÀÇ ÁÖÀÎ 3,4,2011.02.04,1655,9.75,2612,4,804,1,1578.247734,2.416918,0,0,1,0,0,0,0,0,0,0,0,0,0
743,¹Ù¶÷ÀÌ ¸Ó¹«´Â ³­,[4È­] ¿ëÁÖÀÇ ÁÖÀÎ 4,5,2011.02.12,671,9.72,2239,4,549,1,3336.81073,5.961252,0,0,1,0,0,0,0,0,0,0,0,0,0
744,¹æ¿ïÅä¸¶Åä,001. 2ÇÐ³â 7¹Ý Á¶¹ÎÈÆ ¿Ü 2¸í,1,2010.04.05,4912,9.63,1191,16,387,1,242.467427,3.257329,1,0,0,0,0,0,0,0,0,0,0,0,0
745,¹æ¿ïÅä¸¶Åä,002. ³Í ¼ºÀåÆÇÀÌ ¾ø´Â°Å ¾Æ´Ï¾ß?,2,2010.04.07,2364,9.68,1232,4,868,1,521.150592,1.692047,1,0,0,0,0,0,0,0,0,0,0,0,0
746,¹æ¿ïÅä¸¶Åä,003. ±×·±°Ô ÀÖ´ÂÁÙ ³­ ¸ô¶ú¾î,3,2010.04.12,944,9.63,1072,2,404,1,1135.59322,2.118644,1,0,0,0,0,0,0,0,0,0,0,0,0
747,¹æ¿ïÅä¸¶Åä,004. ÇÏ·çÇÏ·ç°¡ ¹ö¶óÀÌ¾îÆ¼ ¶ó´Ï±î,4,2010.04.15,4728,9.66,915,1,609,1,193.527919,0.211506,1,0,0,0,0,0,0,0,0,0,0,0,0
748,¹æ¿ïÅä¸¶Åä,005. ¹º°¡ º¼Ç°¾øÁö¸¸ Â¿¾î,5,2010.04.22,504,9.65,906,1,442,1,1797.619048,1.984127,1,0,0,0,0,0,0,0,0,0,0,0,0
749,±â»çµµ,½ÃÀÛ,1,2011.10.21,3899,9.77,554,7,147,1,142.087715,1.795332,0,0,1,0,0,0,0,0,0,0,0,0,0
750,±â»çµµ,³ª´Â Á×ÀÌÁö ¾Ê¾Ò´Ù.,2,2011.10.28,2605,9.76,409,2,84,1,157.005758,0.767754,0,0,1,0,0,0,0,0,0,0,0,0,0
751,±â»çµµ,Å»Ãâ,3,2011.11.04,1467,9.75,403,3,70,1,274.710293,2.04499,0,0,1,0,0,0,0,0,0,0,0,0,0
752,±â»çµµ,Àç¼ö¾ø´Â ³ðÀº µÚ·Î ³Ñ¾îÁ®µµ ÄÚ°¡!,4,2011.11.12,908,9.78,412,1,69,1,453.744493,1.101322,0,0,1,0,0,0,0,0,0,0,0,0,0
753,±â»çµµ,"·¹µð,¾×¼Ç!",5,2011.11.21,872,9.77,473,0,111,1,542.431193,0,0,0,1,0,0,0,0,0,0,0,0,0,0
754,AiMer[¿¡ÀÌ¸Ó],¿¹°í,1,2011.03.30,4295,9.59,645,12,457,1,150.174622,2.793946,0,0,1,0,0,0,0,0,0,0,0,0,0
755,AiMer[¿¡ÀÌ¸Ó],1È­ ÀÛÀº¿ì¿¬,2,2011.04.01,3625,9.6,722,8,182,1,199.172414,2.206897,0,0,1,0,0,0,0,0,0,0,0,0,0
756,AiMer[¿¡ÀÌ¸Ó],2È­ ÀÛÀº¿ì¿¬(2),3,2011.04.08,2081,9.58,707,4,159,1,339.740509,1.922153,0,0,1,0,0,0,0,0,0,0,0,0,0
757,AiMer[¿¡ÀÌ¸Ó],3È­ ÀÛÀº¿ì¿¬(3),4,2011.04.15,1431,9.55,641,2,158,1,447.938505,1.397624,0,0,1,0,0,0,0,0,0,0,0,0,0
