제목,장르,에피소드,옴니버스,스토리,일상,개그,판타지,액션,드라마,순정,감성,스릴러,시대극,스포츠,좋아요,별점,정식연재
대디보이,개그,0,0,1,0,1,0,0,1,0,0,0,0,0,"1,029",9.73,0
대란(大亂) - 1부 갖춘 자와 갖추지 않은 자,스토리,0,0,1,0,0,0,0,1,0,0,0,1,0,498,9.81,0
대작,드라마,0,0,1,0,0,0,0,1,0,0,1,0,0,311,9.83,1
대작으로 가는 길,감성,0,1,0,0,0,0,0,0,0,1,0,0,0,"1,406",9.87,0
대학원 탈출일지,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,"17,648",9.91,0
대학일기,에피소드,1,0,0,0,1,0,0,0,0,0,0,0,0,"73,432",9.9,1
댐비야,개그,1,0,0,0,1,0,0,0,0,0,0,0,0,3,8.17,0
더 게이머,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,218,9.85,1
더 게임,스릴러,0,0,1,0,0,0,0,0,0,0,1,0,0,37,9.66,0
더 나이팅게일,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,15,9.73,0
더 리턴,판타지,0,0,1,0,0,1,0,1,0,0,0,0,0,"2,306",9.66,0
더 모나크,판타지,0,0,1,0,0,1,1,0,0,0,0,0,0,94,9.69,0
더 익스트림,스포츠,0,0,1,0,0,0,0,1,0,0,0,0,1,"1,200",9.33,0
더 캐슬,판타지,0,0,1,0,0,1,1,0,0,0,0,0,0,36,9.74,0
더 키친 부오노,일상,0,0,1,1,0,0,0,0,0,1,0,0,0,242,9.74,0
더미,드라마,1,0,0,0,0,1,0,1,0,0,0,0,0,528,9.84,0
더블랙LABEL,액션,0,0,1,0,0,0,1,1,0,0,0,0,0,"4,005",9.9,0
덕과의 동침,일상,1,0,0,1,1,0,0,0,0,0,0,0,0,"1,810",9.87,0
덕후커플보고서,에피소드,1,0,0,1,1,0,0,0,0,0,0,0,0,"4,065",9.88,0
던전의 주인님,판타지,0,0,1,0,0,1,1,0,0,0,0,0,0,"2,905",9.88,0
덩키파티,판타지,0,0,1,0,0,1,1,0,0,0,0,0,0,"1,038",9.59,0
데드위크 [Dead Week],드라마,0,0,1,0,0,0,1,1,0,0,0,0,0,"2,061",9.79,0
데르탈리즘,판타지,0,0,1,0,0,1,0,1,0,0,0,0,0,178,9.58,0
데몬데몬,스토리,0,0,1,0,0,1,0,0,0,0,0,0,0,"2,324",9.85,0
데뷔하고 싶어요,일상,0,0,1,1,0,0,0,1,0,0,0,0,0,286,9.26,0
데빌런,스토리,0,0,1,0,0,1,0,0,0,0,0,0,0,501,9.75,0
데스티니,스토리,0,0,1,0,0,0,0,1,0,0,1,0,0,"2,446",9.81,0
데이드림,감성,0,0,1,1,0,0,0,0,0,1,0,0,0,16,9.84,0
데일리 위치,판타지,0,0,1,0,1,1,0,0,0,0,0,0,0,"1,533",9.85,0
데일리 프랑스,에피소드,1,0,0,1,0,0,0,0,0,1,0,0,0,974,9.89,0
데칼코마니,스릴러,0,0,1,0,0,0,0,0,0,0,1,0,0,133,9.59,0
덴큐,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,"3,222",9.73,0
델리의 말랑말랑,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,30,9.03,0
뎐스러워,에피소드,1,0,0,1,0,0,0,0,0,1,0,0,0,215,9.52,0
도곰보와 친구들,에피소드,1,0,0,1,1,0,0,0,0,0,0,0,0,247,8.71,0
도깨비 낭자,판타지,0,0,1,0,0,1,0,0,0,0,0,0,0,481,9.77,0
도깨비 장난,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,743,9.88,0
도깨비 하우스,에피소드,1,0,0,1,1,0,0,0,0,0,0,0,0,403,9.81,0
도깨비를 키우는 방법,판타지,0,0,1,0,0,1,0,1,0,0,0,0,0,863,9.83,0
도나도나도나,판타지,1,0,0,0,0,1,0,1,0,0,0,0,0,"3,943",9.88,0
도니월드,에피소드,1,0,0,1,1,0,0,0,0,0,0,0,0,50,8.24,0
도닥도닥,개그,0,0,1,0,1,0,0,0,0,1,0,0,0,607,9.86,0
도담도담,개그,1,0,0,0,1,1,0,0,0,1,0,0,0,500,9.38,0
도도도,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,515,9.8,0
도레미친만화,옴니버스,0,1,0,0,1,1,0,0,0,0,0,0,0,34,6.82,0
도례 (道禮),액션,0,0,1,0,0,0,1,1,0,0,0,0,0,77,8.77,0
도복리 파이터,스포츠,0,0,1,0,0,0,1,0,0,0,0,0,1,134,9.58,0
도사님 도사님,감성,1,0,0,0,0,0,0,1,0,1,0,0,0,376,9.32,0
도사랜드,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,16,9.55,0
도시남녀제주라이프,일상,1,0,0,1,0,0,0,0,0,1,0,0,0,"2,205",9.67,0
도시소녀 귀농기,스토리,0,0,1,1,0,0,0,0,0,1,0,0,0,"2,814",9.81,0
도시유사 현세전,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,174,9.24,0
도와줘요 사신님!,개그,0,1,0,1,1,0,0,0,0,0,0,0,0,"1,965",9.55,0
도원향,에피소드,1,0,0,0,0,1,0,0,0,0,0,0,0,"6,839",9.89,0
도전!만화가!!,감성,0,0,1,0,0,0,0,1,0,1,0,0,0,34,8.8,0
도전만화가 변봉,스토리,0,0,1,0,1,0,0,0,0,0,0,0,1,35,9.67,0
도치생각,옴니버스,0,1,0,0,0,0,0,0,0,0,0,0,0,4,9.32,0
도화,스토리,0,0,1,0,0,1,1,0,0,0,0,0,0,"1,450",9.85,1
독신으로 살겠다,스토리,0,0,1,0,0,0,0,1,1,0,0,0,0,64,9.73,1
돈까스,에피소드,1,0,0,0,0,0,0,0,0,0,0,0,0,10,9.69,0
돈벌다 만난사이,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,524,9.88,0
돌레인더시티,감성,1,0,0,0,1,0,0,0,0,1,0,0,0,"1,283",9.83,0
돌아와 리즈!,판타지,0,0,1,0,0,1,0,0,1,0,0,0,0,"2,962",9.77,0
돌팔이 작명소,옴니버스,0,1,0,1,0,1,0,0,0,0,0,0,0,383,9.57,0
동거,일상,0,0,1,1,0,0,0,1,0,0,0,0,0,96,9.8,0
동거의 법칙,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,"1,161",9.88,0
동글앤토실,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,"1,379",9.88,0
동네변호사 조들호,일상,0,0,1,1,0,0,0,0,0,0,0,0,0,67,9.36,1
동물 마누라,에피소드,1,0,0,1,1,0,0,0,0,0,0,0,0,467,9.77,0
동물소대,스토리,0,0,1,1,0,0,0,1,0,0,0,0,0,101,9.39,0
동물의 왕국,개그,1,0,0,1,1,0,0,0,0,0,0,0,0,178,9.8,0
동물화실,판타지,0,1,0,0,0,1,0,0,0,1,0,0,0,"1,783",9.9,0
동아리방 202호,일상,0,0,1,1,1,0,0,0,0,0,0,0,0,"2,689",9.88,0
동양의 색,순정,0,0,1,0,0,0,0,1,1,0,0,0,0,211,9.78,0
돼지코,옴니버스,0,1,0,1,0,0,0,0,0,0,0,0,0,29,9.6,0
될성부른 떡잎,스토리,0,0,1,0,1,0,0,0,0,0,0,0,0,11,9.67,0
두 개의 무덤을 팠다,드라마,0,0,1,0,0,0,0,1,0,0,0,1,0,"1,747",9.9,0
두 번째 문리버,스토리,0,0,1,0,0,0,0,0,1,0,0,0,1,"1,254",9.77,0
두근거려요,스토리,0,0,1,0,0,0,0,0,1,1,0,0,0,"3,896",9.85,1
두꺼비집,드라마,0,0,1,0,0,0,0,1,0,0,1,0,0,"1,202",9.76,0
두남자일기,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,"2,820",9.66,0
두번째 나에게,순정,0,0,1,0,0,0,0,1,1,0,0,0,0,261,9.7,0
두번째의 왕자님,스토리,0,0,1,0,0,1,0,0,1,0,0,0,0,"4,150",9.88,0
두세기,드라마,0,0,1,0,0,0,0,1,1,0,0,0,0,70,9.74,0
둘만의 이야기,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,105,9.77,0
둥근해가떴습니다,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,13,9.77,0
듀이,판타지,0,0,1,0,0,1,0,0,0,0,0,0,0,"1,080",9.85,0
드라코런 :: Dracorun,스토리,0,0,1,0,0,1,0,0,0,0,0,0,0,975,9.8,0
드래곤 카이트,판타지,0,0,1,0,0,1,0,0,0,0,0,0,0,"1,842",9.59,0
드래곤메이커,에피소드,1,0,0,0,0,1,0,0,0,0,0,0,0,"10,398",9.89,0
드리머,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,374,9.41,0
드리머즈,판타지,0,0,1,0,0,1,0,0,0,0,1,0,0,554,9.31,0
드림(DREAM),스토리,0,0,1,0,0,1,0,0,0,0,0,0,0,50,9.67,0
드림웨폰,판타지,0,0,1,0,0,1,1,0,0,0,0,0,0,"1,793",9.83,0
드림캡슐(Dream Capsule),개그,0,0,1,0,1,0,1,0,0,0,0,0,0,"11,564",9.89,0
들개의 품위,드라마,0,0,1,0,0,1,0,1,0,0,0,0,0,"2,421",9.86,0
들어는 보았나! 질풍기획!,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,87,9.73,1
등교하는 근식이,판타지,0,0,1,1,0,1,0,0,0,0,0,0,0,"2,179",9.9,0
등선(登仙),액션,0,0,1,0,0,1,1,0,0,0,0,0,0,383,9.5,0
디 언더사이즈드(THE UNDERSIZED),스토리,0,0,1,0,0,0,0,1,0,0,0,0,1,"1,568",9.53,0
디나운스,스토리,0,0,1,0,0,0,0,1,0,0,0,0,0,668,9.74,0
디드롭스 (D.drops),판타지,0,0,1,0,1,1,0,0,0,0,0,0,0,"1,793",9.88,0
디바이스,판타지,0,0,1,0,0,1,1,0,0,0,0,0,0,"4,980",9.84,0
디바인 안드로메다,판타지,0,0,1,0,0,1,0,0,1,0,0,0,0,61,9.86,0
디센트,스토리,0,0,1,0,0,1,1,0,0,0,0,0,0,900,9.59,0
디어비스,판타지,0,0,1,0,0,1,1,0,0,0,0,0,0,287,9.68,0
디지털브레이커,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,15,9.66,0
디플로마티코,옴니버스,0,1,0,0,0,1,0,1,0,0,0,0,0,437,9.7,0
딩가딩 서콩,옴니버스,0,1,0,1,1,0,0,0,0,0,0,0,0,"1,447",9.85,0
딩스&뚱스,에피소드,1,0,0,0,0,0,0,0,0,0,0,0,0,44,9.54,0
따뜻한 나의 코코,감성,1,0,0,1,0,0,0,0,0,1,0,0,0,"2,738",9.89,0
딴 짓이 제일 재밌어,옴니버스,0,1,0,1,1,0,0,0,0,0,0,0,0,500,9.71,0
딸기랑 나랑,일상,0,1,0,1,0,0,0,0,0,0,0,0,0,127,9.86,0
딸기와 밀크티,감성,0,0,1,0,0,0,0,0,1,1,0,0,0,"1,844",9.74,0
땅 끝에서,스토리,0,0,1,0,0,0,0,1,0,0,0,0,0,239,9.85,0
땅 보고 걷는 아이,에피소드,1,0,0,1,0,0,0,0,0,1,0,0,0,"2,534",9.88,1
땅거미들,스토리,0,0,1,0,0,1,0,1,0,0,0,0,0,671,9.69,0
땅의 기록,판타지,0,0,1,0,0,1,0,0,0,0,0,0,0,23,9.78,0
떠나가리,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,415,9.54,0
떡볶이 가게 아가씨,스토리,0,0,1,0,0,0,0,1,0,1,0,0,0,"1,441",8.66,0
떡신사바,개그,0,0,1,0,1,1,0,0,0,0,0,0,0,223,9.76,0
떴다! 자취생,옴니버스,0,1,0,1,1,0,0,0,0,0,0,0,0,231,9.44,0
똥끼네,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,9,9.43,0
똥두,스토리,0,0,1,1,0,0,0,1,0,0,0,0,0,793,9.69,0
뚱뚱이 탈출기,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,153,9.76,0
뜨뜨미지근한,에피소드,1,0,0,1,0,0,0,0,0,1,0,0,0,"1,918",9.86,0
띵동! 도토리에요,판타지,1,0,0,1,0,1,0,0,0,0,0,0,0,827,9.76,0
라떼는 말이야,스토리,0,0,1,1,1,0,0,0,0,0,0,0,0,"1,134",9.74,0
라라파루자,스포츠,0,0,1,0,0,0,1,0,0,0,0,0,1,"8,994",9.8,0
라면순대,개그,1,0,0,1,1,0,0,0,0,0,0,0,0,624,9.75,0
라면이야기,스토리,0,0,1,0,0,0,0,1,0,0,0,0,0,29,9.49,0
라스가에!,에피소드,1,0,0,0,0,1,0,0,1,0,0,0,0,"1,657",9.89,0
라스오브이블,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,410,9.6,0
라이즈(RISE),스토리,0,0,1,0,0,1,0,1,0,0,0,0,0,225,9.68,0
라이징패스트볼,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,48,9.56,1
라이트닝 플로우,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,28,9.44,0
라인리스 :: Lineless,판타지,0,0,1,0,0,1,0,0,0,0,0,0,0,"4,382",9.85,0
라텔론,판타지,0,0,1,0,0,1,0,1,0,0,0,0,0,439,9.26,0
랑데뷰,개그,1,0,0,0,1,0,0,1,0,0,0,0,0,537,9.89,0
랑앤마눌,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,124,9.79,0
래빗 콤바치!,스포츠,1,0,0,1,0,0,0,0,0,0,0,0,1,"1,246",9.65,0
랜드라이프,스토리,0,0,1,0,0,1,0,0,1,0,0,0,0,"9,242",9.89,0
랭커앤랭커,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,"9,873",9.8,0
량 -무인정사-,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,13,9.02,0
러보얌♥,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,110,9.76,0
러브 유어 시스터,스릴러,0,0,1,0,0,0,0,0,1,0,1,0,0,"10,368",9.82,0
러브 햄츄얼리,스토리,0,0,1,1,1,0,0,0,0,0,0,0,0,596,9.69,0
러브라이터,개그,0,0,1,0,1,0,0,0,1,0,0,0,0,"1,270",9.87,0
러블리러브,옴니버스,0,1,0,1,0,0,0,0,1,0,0,0,0,864,9.59,0
러비스,드라마,0,0,1,0,0,0,0,1,1,0,0,0,0,"2,170",9.79,0
러비츠,에피소드,1,0,0,0,0,0,0,0,0,0,0,0,0,13,9.07,0
런어웨이,순정,0,0,1,0,0,1,0,0,1,0,0,0,0,"17,885",9.78,0
레드군,개그,0,0,1,0,1,0,1,0,0,0,0,0,0,70,9.5,0
레드헤링,스릴러,0,0,1,0,0,0,0,1,0,0,1,0,0,124,9.55,0
레비아탄,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,25,9.73,0
레사(lessa),스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,323,9.79,1
레이디 프로젝트,판타지,0,0,1,0,0,1,0,0,1,0,0,0,0,"4,961",9.86,0
레퀴에스,개그,1,0,0,0,1,1,0,0,0,0,0,0,0,90,9.25,0
렌탈맨,스토리,0,0,1,0,0,1,0,0,0,0,0,0,0,873,8.3,0
렘브란트 블러드,스토리,0,0,1,0,0,1,0,0,0,0,1,0,0,17,8.67,0
렛츠,스릴러,0,0,1,0,0,1,0,0,0,0,1,0,0,71,9.59,0
렛츠고!팜머스쿨!,개그,1,0,0,0,1,1,0,0,0,0,0,0,0,480,9.85,0
렝드,판타지,0,0,1,0,0,1,0,1,0,0,0,0,0,885,9.85,0
로고스,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,48,9.64,0
로그 아일,판타지,0,0,1,0,0,1,1,0,0,0,0,0,0,902,9.73,0
로단테,판타지,0,0,1,0,0,1,0,1,0,0,0,0,0,808,9.88,0
로마의 법칙,드라마,1,0,0,1,0,0,0,1,0,0,0,0,0,377,9.88,0
로맨스를 찾아줘,순정,0,0,1,0,0,0,0,0,1,0,0,0,0,"4,213",9.78,0
로맨틱 마블링,순정,0,0,1,0,0,0,0,0,1,0,0,0,0,140,9.53,0
로베스의 완전감각,판타지,0,0,1,0,0,1,1,0,0,0,0,0,0,"1,185",9.88,1
로보택틱스,액션,0,0,1,0,0,0,1,1,0,0,0,0,0,"1,172",9.78,0
로어스쿨,액션,0,0,1,0,0,0,1,1,0,0,0,0,0,"15,375",9.89,0
로즈관찰일기,개그,0,0,1,0,1,1,0,0,0,0,0,0,0,"1,136",9.75,0
로키 (Loki),판타지,0,0,1,0,0,1,1,0,0,0,0,0,0,481,9.86,0
론즈(Lons),스토리,0,0,1,0,0,1,0,0,0,0,0,0,0,143,9.82,0
롤랜드 엠블리,감성,1,0,0,1,0,0,0,0,0,1,0,0,0,265,9.49,0
롼든girl,감성,0,1,0,1,0,0,0,0,0,1,0,0,0,634,9.58,0
루나 온 더 스카이,스토리,0,0,1,0,0,0,0,1,1,0,0,0,0,34,9.79,0
루나샵에 어서오세요!,판타지,0,0,1,0,0,1,0,0,1,0,0,0,0,"16,441",9.9,0
루머의 법칙,드라마,0,0,1,0,0,0,0,1,1,0,0,0,0,"2,910",9.76,0
루미인싸이드,에피소드,1,0,0,1,0,0,0,0,0,1,0,0,0,"2,067",9.86,0
루벤스와푸생,감성,0,0,1,0,0,0,0,0,1,1,0,0,0,453,9.27,0
루비노(Rubino),순정,0,0,1,0,0,1,0,0,1,0,0,0,0,28,9.71,0
루이와 졸개들 R,개그,1,0,0,0,1,1,0,0,0,0,0,0,0,216,9.78,0
루커피쳐,순정,0,0,1,1,0,0,0,0,1,0,0,0,0,"26,936",9.89,1
루크벨라의 우아한인생,스토리,0,0,1,0,0,1,0,0,0,1,0,0,0,"2,188",9.87,0
루턴 -past story-,스토리,0,0,1,0,0,1,0,1,0,0,0,0,0,"2,611",9.84,0
루텔,옴니버스,0,1,0,1,0,0,0,0,0,0,0,0,0,"8,091",9.9,0
룩앤미,순정,0,0,1,0,0,0,0,1,1,0,0,0,0,719,9.5,0
룸메이트,일상,1,0,0,1,0,0,0,1,0,0,0,0,0,52,9.57,0
룽과크리스,스토리,0,0,1,0,0,0,0,1,0,0,0,1,0,"3,776",9.87,0
리드래프트,드라마,0,0,1,0,0,0,0,1,0,0,0,0,1,"2,429",9.86,0
리바이벌(Revival),판타지,0,0,1,0,0,1,0,1,0,0,0,0,0,"3,184",9.77,0
리바이어던,스토리,0,0,1,0,0,0,0,1,0,0,0,0,0,85,9.7,0
리베르,스토리,0,0,1,0,0,1,1,0,0,0,0,0,0,553,9.32,0
리부트,액션,0,0,1,0,1,0,1,0,0,0,0,0,0,523,9.75,0
리브 하이,개그,1,0,0,1,1,0,0,0,0,0,0,0,0,83,9.56,0
리사이클,판타지,0,0,1,0,0,1,1,0,0,0,0,0,0,298,8.94,0
리솔루토,스토리,0,0,1,0,0,1,0,1,0,0,0,0,0,284,9.73,0
리얼 김영감 게임,스토리,0,0,1,0,0,1,1,0,0,0,0,0,0,762,9.69,0
리얼 소꿉친구,스토리,0,0,1,0,1,0,0,0,1,0,0,0,0,"4,195",9.86,0
리치+리치,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,32,9.78,0
리콜 마이 라이프,드라마,1,0,0,0,0,1,0,1,0,0,0,0,0,42,9.43,0
리틀프린스!,스토리,0,0,1,1,0,0,0,0,1,0,0,0,0,"3,507",9.77,0
리프로듀싱,순정,0,0,1,0,0,0,0,1,1,0,0,0,0,"4,640",9.6,0
리플렉션,스토리,0,0,1,0,0,1,0,0,0,0,0,1,0,177,9.79,0
릴리 키스(Lily Kiss),드라마,0,0,1,0,0,1,0,1,0,0,0,0,0,21,9.74,0
릴리스,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,95,9.57,0
림딩동,스토리,0,0,1,0,0,0,0,1,0,0,0,0,1,"5,092",9.73,0
링거,판타지,0,1,0,0,0,1,0,0,0,1,0,0,0,748,9.73,0
마계의 황녀,스토리,0,0,1,0,0,1,0,0,0,0,0,0,0,"7,258",9.87,0
마고,판타지,0,0,1,0,0,1,0,0,0,0,1,0,0,507,9.88,0
마고령,판타지,0,0,1,0,0,1,0,0,0,0,0,0,0,"1,426",9.85,0
마나마나,감성,0,1,0,1,0,0,0,0,0,1,0,0,0,"1,290",9.86,0
마네킹,스토리,0,0,1,0,0,0,0,1,0,1,0,0,0,"1,025",9.85,0
마녀 어머니와 좀비 아들,감성,0,0,1,0,0,1,0,0,0,1,0,0,0,950,9.85,0
마녀가 되다.,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,15,9.63,0
마녀가 잠든 사이에,판타지,0,0,1,0,0,1,0,0,0,1,0,0,0,790,9.86,0
마녀는 그렇게 죽었다,스토리,0,0,1,0,0,1,0,0,0,1,0,0,0,"1,154",9.84,0
마녀수업,스토리,0,0,1,0,0,0,0,1,0,0,0,0,0,"1,132",9.86,0
마니콩,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,15,9.62,0
마당개의 인생,스토리,0,0,1,0,0,1,0,1,0,0,0,0,0,739,9.73,0
마더어스,스토리,0,0,1,0,0,0,0,1,0,0,1,0,0,825,9.49,0
마도,스토리,0,0,1,0,0,1,1,0,0,0,0,0,0,326,9.74,0
마들레느가 9번지,드라마,0,0,1,0,0,0,0,1,0,0,0,0,0,6,9.72,0
마로이야기,감성,0,0,1,0,1,0,0,0,0,1,0,0,0,93,9.84,0
마롱의 마카롱,감성,1,0,0,1,0,0,0,0,0,1,0,0,0,"4,679",9.86,0
마루여고,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,90,9.72,0
마물전담부대,개그,0,1,0,0,1,1,0,0,0,0,0,0,0,"2,695",9.89,0
마미기숙사,일상,1,0,0,1,1,0,0,0,0,0,0,0,0,653,9.84,0
마미므메모,드라마,1,0,0,1,0,0,0,1,0,0,0,0,0,"11,726",9.86,0
마법사와 꼬마,판타지,0,0,1,0,0,1,0,0,0,0,0,0,0,839,9.84,0
마법소년 근무일지,개그,0,0,1,0,1,0,1,0,0,0,0,0,0,"1,078",9.77,0
마법약사,스토리,0,0,1,0,0,1,1,0,0,0,0,0,0,"21,940",9.9,0
마샤의 인형,판타지,1,0,0,1,0,1,0,0,0,0,0,0,0,"1,572",9.85,0
마스크걸,개그,0,0,1,0,1,0,0,0,0,0,0,0,0,"1,031",9.85,1
마스크폴리스,감성,0,0,1,0,0,1,0,0,0,1,0,0,0,101,9.84,0
마야,스토리,0,0,1,0,0,0,1,0,0,0,1,0,0,81,9.59,0
마왕 옆자리 비서 한 마리,옴니버스,0,1,0,1,0,1,0,0,0,0,0,0,0,181,9.8,0
마왕의 휴일,판타지,1,0,0,0,0,1,0,0,0,0,0,0,0,932,9.87,0
마왕이 되는 방법,스토리,0,0,1,0,0,1,0,0,1,0,0,0,0,"2,815",9.83,0
마왕이 되는 중2야,스토리,0,0,1,0,1,0,0,0,0,0,0,0,0,"2,850",9.88,1
마왕이 상병신,스토리,0,0,1,0,1,1,0,0,0,0,0,0,0,"3,738",9.87,0
마요네즈참조아,옴니버스,0,1,0,0,0,0,0,0,0,0,0,0,0,22,9.68,0
마음과 마법의 반비례,판타지,1,0,0,0,0,1,0,0,0,1,0,0,0,"2,642",9.88,0
마음을 전해 드립니다.,드라마,0,0,1,0,0,0,0,1,0,1,0,0,0,436,9.83,0
마음을 주세요,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,3,9.22,0
마음을 훔치는 여자,드라마,0,0,1,0,1,0,0,1,0,0,0,0,0,"1,129",9.71,0
마음의 온도,스토리,0,0,1,0,0,0,0,1,0,0,0,0,0,"11,178",9.85,0
마이 리틀 캐나다,개그,1,0,0,1,1,0,0,0,0,0,0,0,0,352,9.85,0
마이데이,드라마,0,0,1,0,0,0,0,1,1,0,0,0,0,"4,909",9.69,0
마이웨이수호신,순정,0,0,1,0,0,0,0,1,1,0,0,0,0,15,8.43,0
마이툰,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,263,9.67,0
마장박 다이어리,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,54,8.66,0
마족사제,판타지,1,0,0,0,1,1,0,0,0,0,0,0,0,"2,318",9.89,0
마지막 피터팬,순정,0,0,1,0,0,0,0,1,1,0,0,0,0,"1,523",9.85,0
마지막휴가,드라마,0,0,1,0,0,0,0,1,0,0,0,0,0,"7,056",9.62,0
마키시의 이웃들,일상,0,1,0,1,1,0,0,0,0,0,0,0,0,"2,107",9.86,0
마킹!!,스포츠,0,0,1,0,0,0,0,1,0,0,0,0,1,804,9.25,0
마피아 게임,순정,0,0,1,0,0,0,0,0,1,1,0,0,0,"1,596",9.85,0
막순이,순정,0,0,1,0,0,0,0,0,1,0,0,1,0,"1,537",9.85,0
막역지우,순정,0,0,1,0,1,0,0,0,1,0,0,0,0,"8,307",9.81,0
막장동화에 어서오렴! (feat.동화원정대),개그,0,0,1,0,1,1,0,0,0,0,0,0,0,289,9.25,0
만가,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,473,9.38,0
만물상,판타지,0,1,0,0,0,1,0,1,0,0,0,0,0,924,9.82,0
만월에 핀 연꽃,순정,0,0,1,0,0,0,0,0,1,0,0,1,0,"5,192",9.67,0
만유인력의 법칙,일상,1,0,0,1,0,1,0,0,0,0,0,0,0,442,9.7,0
만하생,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,881,9.86,0
만화 임진왜란,개그,0,0,1,0,1,0,0,0,0,0,0,1,0,"2,673",9.78,0
만화유치원,개그,0,1,0,1,1,0,0,0,0,0,0,0,0,"1,609",9.87,0
말랑말랑 생활사,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,464,9.68,0
말랑말랑인생,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,"1,017",9.81,0
말랑하게 센티멘탈,감성,0,0,1,0,0,0,0,1,0,1,0,0,0,182,9.81,0
말레이시아 리스키씨,일상,0,1,0,1,1,0,0,0,0,0,0,0,0,"1,122",9.89,0
말하지 않는다.,개그,0,0,1,0,1,0,0,0,0,0,1,0,0,252,9.76,0
맘스 다이어리,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,370,9.78,0
맛있는 남자,드라마,0,0,1,0,0,0,0,1,1,0,0,0,0,"9,858",9.88,0
맛집남녀,개그,0,0,1,0,1,0,0,0,0,0,0,0,0,21,9.6,1
망각의 주인,판타지,0,1,0,0,0,1,1,0,0,0,0,0,0,432,9.87,0
망각천사를 잡는 방법,스토리,0,0,1,0,0,1,1,0,0,0,0,0,0,488,9.76,0
망고맘보,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,12,9.75,0
망령왕이,감성,1,0,0,0,0,1,0,0,0,1,0,0,0,169,9.52,0
망상되감기,스토리,0,0,1,0,0,0,1,1,0,0,0,0,0,"2,235",9.89,0
망상특급열차,일상,0,1,0,1,1,0,0,0,0,0,0,0,0,514,9.64,0
망생이 전투,액션,0,1,0,0,0,1,1,0,0,0,0,0,0,277,9.67,0
망월선녀설화,스토리,0,0,1,0,0,1,0,0,1,0,0,0,0,"1,374",8.95,0
망자카페,판타지,0,1,0,0,0,1,0,0,0,0,0,0,0,"2,878",9.78,0
망탁,스토리,0,0,1,0,0,0,1,0,0,0,1,0,0,33,9.56,0
망했다 튀어라,에피소드,1,0,0,1,1,0,0,0,0,0,0,0,0,978,9.8,0
매구인게 어때서?!,순정,0,0,1,0,0,1,0,0,1,0,0,0,0,"3,162",9.84,0
매그니피센트,스토리,0,0,1,0,0,1,0,1,0,0,0,0,0,325,9.79,0
매일 참는 남자,감성,0,0,1,0,0,0,0,1,0,1,0,0,0,"2,132",9.62,0
"매일, 제일",스토리,0,0,1,0,0,0,0,1,1,0,0,0,0,"14,659",9.9,0
매지컬팡,판타지,1,0,0,0,1,1,0,0,0,0,0,0,0,"1,187",9.84,0
매진녀 밀리케이,에피소드,1,0,0,0,0,0,0,0,0,0,0,0,0,15,9.64,0
