제목,장르,에피소드,옴니버스,스토리,일상,개그,판타지,액션,드라마,순정,감성,스릴러,시대극,스포츠,좋아요,별점,정식연재
203호 저승사자,개그,1,0,0,0,1,0,0,0,0,0,0,0,0,"2,101",9.75,1
24,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,10,9.11,0
25세 요술공주,판타지,0,0,1,0,0,1,0,1,0,0,0,0,0,334,9.76,0
30일의 시간여행,판타지,0,0,1,0,0,1,0,1,0,0,0,0,0,814,9.44,0
30일후,스토리,0,0,1,0,0,0,0,0,0,0,1,0,0,"3,638",9.59,0
39℃,일상,0,0,1,1,0,0,0,1,0,0,0,0,0,535,7.87,0
3MAN,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,11,9.57,0
3구역 숲,스토리,0,0,1,0,0,1,1,0,0,0,0,0,0,125,9.47,0
3번째 도막,개그,1,0,0,1,1,0,0,0,0,0,0,0,0,631,9.86,0
3분의1,스토리,0,0,1,1,0,0,0,1,0,0,0,0,0,317,9.86,0
3월의 토끼,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,35,9.73,0
3인3색 세쌍둥이,일상,1,0,0,1,1,0,0,0,0,0,0,0,0,740,9.83,0
4년째 신혼일기,에피소드,1,0,0,1,1,0,0,0,0,0,0,0,0,465,9.76,0
4번째 세계,순정,0,0,1,0,0,1,0,0,1,0,0,0,0,144,9.59,0
"4월,벚꽃 우리들",순정,0,0,1,0,0,0,0,0,1,1,0,0,0,"4,855",9.89,0
4층복도끝천국,순정,0,0,1,0,0,1,0,0,1,0,0,0,0,"5,231",9.86,0
500원 토끼,일상,1,0,0,1,1,0,0,0,0,0,0,0,0,"3,512",9.72,0
502호의 묘책,에피소드,1,0,0,1,1,0,0,0,0,0,0,0,0,"2,775",9.89,0
52번지 몬스터,스릴러,0,0,1,0,0,0,0,0,1,0,1,0,0,"1,899",9.6,0
5kg을 위하여,에피소드,1,0,0,1,1,0,0,0,0,0,0,0,0,"18,136",9.89,1
5月하늘의돋보기,스토리,0,0,1,0,0,1,0,0,0,0,0,0,0,409,9.85,0
5인전쟁,스토리,0,0,1,0,0,1,1,0,0,0,0,0,0,521,9.87,0
5일의 기적,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,109,9.78,0
731바이러스,스릴러,0,0,1,0,0,0,0,0,0,0,1,1,0,"1,731",9.74,0
"77년생, 열아홉",스릴러,0,0,1,0,0,0,0,0,1,0,1,0,0,526,9.62,0
79년생. 세상과 7979하다.,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,738,9.83,0
7번국도아이,시대극,0,0,1,0,0,0,0,1,0,0,0,1,0,166,9.82,0
86'd,에피소드,1,0,0,1,1,0,0,0,0,0,0,0,0,"1,143",9.85,0
9등급 뒤집기,순정,0,0,1,0,0,0,0,1,1,0,0,0,0,"1,966",8.58,1
<지금우리학교는>,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,955,9.72,1
A - STUDENT(모범생),스릴러,0,0,1,0,0,0,0,0,0,0,1,0,0,762,9.61,0
A girl like alien,드라마,0,0,1,0,0,0,0,1,1,0,0,0,0,"2,412",9.82,0
ADHD 생활기,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,478,9.76,0
AIR,스릴러,0,0,1,0,0,1,0,0,0,0,1,0,0,307,9.89,0
AI폰 아리랑,에피소드,1,0,0,1,0,0,0,1,0,0,0,0,0,"2,427",9.84,0
Ah!저이야기,판타지,0,0,1,0,0,1,0,0,1,0,0,0,0,31,9.74,0
AiMer[에이머],스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,47,9.72,1
Alone,스토리,0,0,1,0,0,0,0,0,0,0,1,0,0,362,9.77,0
Animal Today (애니멀 투데이),개그,1,0,0,1,1,0,0,0,0,0,0,0,0,121,8.93,0
A의 세계,일상,0,0,1,1,0,1,0,0,0,0,0,0,0,"14,506",9.4,0
BEST WAY,옴니버스,0,1,0,0,0,0,0,0,0,0,0,0,0,6,9.48,0
BO고또'보'고,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,532,9,0
BREEZE (브리즈),개그,0,0,1,0,1,0,1,0,0,0,0,0,0,60,9.39,0
BeYonD,스토리,0,0,1,0,0,1,0,1,0,0,0,0,0,"1,286",9.83,0
BooBoo's Zoo(부부의 동물원),감성,1,0,0,0,0,0,0,0,0,1,0,0,0,112,9.71,0
Bugs,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,50,9.66,0
B와 당신,에피소드,1,0,0,1,1,0,0,0,0,0,0,0,0,"3,983",9.62,0
B텐더,감성,0,1,0,0,0,0,0,1,0,1,0,0,0,"1,639",9.8,0
CAFE_쉬어가게,감성,0,0,1,0,0,0,0,0,1,1,0,0,0,"1,752",9.78,0
CANADADA!,일상,1,0,0,1,1,0,0,0,0,0,0,0,0,"2,030",9.86,0
CARNIVAL,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,106,9.52,0
CAT,스토리,0,0,1,0,0,0,0,1,0,0,0,0,0,"1,125",9.83,0
CELL,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,28,9.6,0
CELL[셀],판타지,0,0,1,0,0,1,0,0,0,0,0,0,0,377,9.85,0
CMYK,감성,1,0,0,0,1,0,0,0,0,1,0,0,0,"4,583",9.12,0
CORE,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,7,9.59,0
Cafe OK,순정,0,1,0,1,0,0,0,0,1,0,0,0,0,"10,013",9.87,0
Captor,옴니버스,0,1,0,0,0,0,0,0,0,0,0,0,0,24,9.76,0
Cheap An' Nasty,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,20,9.74,0
Circle,스토리,0,0,1,1,0,0,0,0,0,1,0,0,0,347,9.86,0
DAWN 여명 - 트와일라이트 2부,스토리,0,0,1,0,0,1,0,1,0,0,0,0,0,811,9.85,0
DEAD DAYS,스토리,0,0,1,0,0,0,1,0,0,0,1,0,0,"3,792",9.82,1
DJ 카일하우스,스토리,0,0,1,0,0,0,0,1,0,1,0,0,0,"9,158",9.84,0
DOLL,판타지,0,0,1,0,0,1,0,0,0,0,0,0,0,"14,690",9.9,0
Day to Day,에피소드,1,0,0,0,0,0,0,0,0,0,0,0,0,850,9.81,0
Dead to the world,드라마,0,0,1,0,0,1,0,1,0,0,0,0,0,15,9.85,0
Deep Blue,스토리,0,0,1,0,0,0,0,1,0,1,0,0,0,"1,238",9.87,0
EMPIRE(제국),스토리,0,0,1,0,0,1,0,1,0,0,0,0,0,"1,576",9.6,0
EQ,순정,0,0,1,0,0,0,0,1,1,0,0,0,0,"1,353",9.77,0
EVEN,스토리,0,0,1,0,0,1,1,0,0,0,0,0,0,37,9.8,0
F I X,스릴러,0,0,1,0,0,0,0,0,1,0,1,0,0,562,9.49,0
F&I,스토리,0,0,1,0,0,0,1,0,0,0,0,0,0,8,9.63,0
FREEKICK,개그,0,0,1,0,1,0,0,0,0,0,0,0,1,126,9.78,0
Find(파인드),스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,24,9.66,0
Free Or UNfree,판타지,0,0,1,0,0,1,0,1,0,0,0,0,0,751,9.8,0
Freeman Lee,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,13,9.74,0
Full Metal Wing,판타지,0,0,1,0,0,1,0,0,0,0,0,0,0,430,9.85,0
GEMMA .,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,13,9.74,0
GIMS,옴니버스,0,1,0,1,0,0,0,0,0,0,0,0,0,"29,755",9.88,0
GO,스토리,0,0,1,0,0,0,0,0,0,0,0,0,1,213,9.71,0
GO! GO! 1학년 8반!!!,일상,1,0,0,1,1,0,0,0,0,0,0,0,0,348,9.5,0
GO! 신나고,스포츠,0,0,1,0,0,0,0,0,0,0,0,0,1,789,9.59,0
GO!라니,스토리,0,0,1,1,0,0,0,0,1,0,0,0,0,"11,053",9.88,0
Guardian,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,68,9.76,0
Guarding - 그녀는 나의 웬수..,드라마,0,0,1,0,0,0,0,1,1,0,0,0,0,245,9.77,0
HAVE A NICE DAY,에피소드,1,0,0,0,0,0,0,0,0,1,0,0,0,428,9.77,0
HAVEN's,옴니버스,0,1,0,0,0,0,0,0,0,0,0,0,0,9,9.4,0
HOL(전설의 역사),액션,0,1,0,0,0,1,1,0,0,0,0,0,0,"1,895",9.4,0
HOLE,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,32,9.76,0
HOOD,개그,0,0,1,0,1,0,0,0,0,0,0,0,0,"1,834",9.87,0
