,À¥Å÷ Á¦¸ñ,È¸Â÷ Á¦¸ñ,È¸Â÷,µî·ÏÀÏ,Á¶È¸¼ö,È¸Â÷º° º°Á¡,º°Á¡ Âü¿©ÀÎ¿ø¼ö,ÁÁ¾Æ¿ä¼ö,Á¤½Ä¿¬Àç,Á¶È¸¼ö ´ëºñ º°Á¡Âü¿©,Á¶È¸¼ö ´ëºñ ÁÁ¾Æ¿ä
23,´ëÇÐÀÏ±â,ÁÖÁ¡2,4,2013.10.12,597031,9.88,9065,3217,1,0.015183466185172963,0.005388329919216925
24,´ëÇÐÀÏ±â,Áß°£°í»ç,5,2013.10.18,568395,9.91,10162,3904,1,0.017878412019810167,0.006868462952700147
25,5kgÀ» À§ÇÏ¿©,ÇÁ·Ñ·Î±×,1,2017.05.10,540467,9.5,1848,724,1,0.0034192651910292396,0.0013395822501651349
26,5kgÀ» À§ÇÏ¿©,1È­,2,2017.05.10,576376,9.86,1954,751,1,0.0033901480977695116,0.001302968895304454
27,5kgÀ» À§ÇÏ¿©,2È­,3,2017.05.11,538728,9.84,1977,734,1,0.003669755423887379,0.001362468629809477
28,5kgÀ» À§ÇÏ¿©,3È­,4,2017.05.17,498215,9.88,1914,677,1,0.0038417149222725127,0.0013588510984213643
29,5kgÀ» À§ÇÏ¿©,4È­,5,2017.05.25,476293,9.93,2081,790,1,0.004369159319998405,0.001658642894184882
30,ÀÌ°Íµµ Ä£±¸¶ó°í,ÇÁ·Ñ·Î±×,1,2017.01.01,428681,9.88,2232,1878,1,0.005206668828336222,0.004380879955024832
31,ÀÌ°Íµµ Ä£±¸¶ó°í,1È­. Ä£±¸´Â ¾î¶»°Ô »ç±Í³ª¿ä?,2,2017.01.08,510594,9.88,2126,1686,1,0.00416377787439727,0.0033020364516621816
32,ÀÌ°Íµµ Ä£±¸¶ó°í,2È­. »ö¾È°æÀº ¿µÈ­°ü¿¡¼­,3,2017.01.15,403009,9.89,2040,1588,1,0.00506192169405646,0.003940358652040029
33,ÀÌ°Íµµ Ä£±¸¶ó°í,3È­. 21¼¼±â ³²ÀÚµéÀÇ ¿ìÁ¤Àº ÄÄÇ»ÅÍ ¾Õ¿¡¼­ (1),4,2017.01.22,368372,9.88,1996,1546,1,0.00541843571172619,0.00419684449415265
34,ÀÌ°Íµµ Ä£±¸¶ó°í,Æ¯º°Æí,5,2017.01.29,310125,9.88,1638,1355,1,0.005281741233373639,0.004369205965336558
35,¿¬³ð,1È­. 3³â.. ¿©ÀüÈ÷ ´Ù¸¥ ¿ì¸® (1),1,2014.10.10,616331,9.81,4113,2995,1,0.006673362203101905,0.004859401847383954
36,¿¬³ð,2È­. 3³â.. ¿©ÀüÈ÷ ´Ù¸¥ ¿ì¸® (2),2,2014.10.17,478146,9.82,3568,2139,1,0.007462155910537786,0.004473529005784844
37,¿¬³ð,3È­. 3³â.. ¿©ÀüÈ÷ ´Ù¸¥ ¿ì¸® (3),3,2014.10.24,372339,9.81,3162,1734,1,0.008492261084656724,0.004657046401263365
38,¿¬³ð,"4È­. ¸¶À½¿¡µµ ¾ø´Â, ¾Æ´Ï ¾ø±æ ¹Ù¶ó´Â ¸».",4,2014.10.31,273925,9.81,3075,1599,1,0.011225700465455873,0.005837364242037054
39,¿¬³ð,5È­. ¿À´Ã ¹¹ÇØ?,5,2014.11.07,227458,9.81,3037,1630,1,0.013351915518469345,0.00716615814787785
40,#»ìÀÎ½ºÅ¸±×·¥,ÇÁ·Ñ·Î±×,1,2018.10.19,335457,9.51,758,637,1,0.0022596040625177,0.0018989020947543203
41,#»ìÀÎ½ºÅ¸±×·¥,1È­,2,2018.10.26,335270,9.57,689,493,1,0.0020550601008142693,0.0014704566468816177
42,#»ìÀÎ½ºÅ¸±×·¥,2È­,3,2018.11.02,250998,9.59,624,340,1,0.0024860755862596514,0.0013545924668722459
43,#»ìÀÎ½ºÅ¸±×·¥,3È­,4,2018.11.09,214372,9.63,611,320,1,0.002850185658574814,0.0014927322598100499
44,#»ìÀÎ½ºÅ¸±×·¥,4È­,5,2018.11.16,218042,9.67,610,322,1,0.0027976261454215243,0.0014767797029930014
45,¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,1È­,1,2017.05.31,349733,9.74,1316,627,1,0.003762870532663489,0.001792796218829793
46,¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,2È­,2,2017.06.08,256414,9.77,1078,515,1,0.004204138619576154,0.0020084706763281255
47,¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,3È­,3,2017.06.15,218442,9.79,1023,458,1,0.00468316532534952,0.0020966663919942136
48,¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,4È­,4,2017.06.22,205051,9.81,1055,458,1,0.005145061472511717,0.002233590667687551
49,¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,5È­,5,2017.06.29,212468,9.77,957,445,1,0.004504207692452511,0.0020944330440348666
50,Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,ÇÁ·Ñ·Î±×,1,2018.07.25,334250,9.72,1248,396,1,0.0037337322363500372,0.0011847419596110696
51,Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,1È­,2,2018.07.25,372099,9.82,1432,452,1,0.003848438184461662,0.0012147304883915301
52,Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,2È­,3,2018.08.01,300754,9.84,1298,375,1,0.004315819573472007,0.0012468662095932225
53,Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,3È­,4,2018.08.08,262261,9.84,1272,350,1,0.004850130213794655,0.0013345484078837494
54,Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,4È­,5,2018.08.15,256048,9.83,1134,353,1,0.004428857089295757,0.00137864775354621
55,±Í°¢½Ã,-¿¹°íÆí-,1,2014.06.25,236307,9.81,2359,1625,1,0.009982776642249277,0.0068766477505956235
56,±Í°¢½Ã,-1-,2,2014.06.27,260183,9.84,2419,1472,1,0.009297302283392843,0.005657556412217555
57,±Í°¢½Ã,-2-,3,2014.07.05,216561,9.85,2449,1451,1,0.011308592036423917,0.006700190708391631
58,±Í°¢½Ã,-3-,4,2014.07.17,187305,9.85,2385,1429,1,0.012733242572275167,0.007629267771816022
