,À¥Å÷ Á¦¸ñ,È¸Â÷ Á¦¸ñ,È¸Â÷,µî·ÏÀÏ,Á¶È¸¼ö,È¸Â÷º° º°Á¡,º°Á¡ Âü¿©ÀÎ¿ø¼ö,ÁÁ¾Æ¿ä¼ö,Á¤½Ä¿¬Àç,Á¶È¸¼ö ´ëºñ º°Á¡Âü¿©,Á¶È¸¼ö ´ëºñ ÁÁ¾Æ¿ä
660,½ÇÁú°´°üµ¿È­,½ÇÁú°´°üµ¿È­02.ÈïºÎ¿Í ³îºÎ,2,2008.12.10,6014,9.72,1305,63,1,0.21699368141004324,0.010475557033588294
661,½ÇÁú°´°üµ¿È­,½ÇÁú°´°üµ¿È­ 03.´Á´ë¿ÍÀÏ°ö¸¶¸®¾Æ±â¿°¼Ò,3,2008.12.10,5079,9.61,1020,45,1,0.20082693443591257,0.008860011813349085
662,½ÇÁú°´°üµ¿È­,½ÇÁú°´°üµ¿È­04.¹ú°Å¹þÀº ÀÓ±Ý´Ô,4,2008.12.11,5154,9.55,979,40,1,0.18994955374466435,0.007760962359332557
663,½ÇÁú°´°üµ¿È­,½ÇÁú°´°üµ¿È­Å©¸®½º¸¶½ºSP.´«»ç¶÷ ¾ÆÀú¾¾,5,2008.12.16,3845,9.76,1821,38,1,0.47360208062418724,0.00988296488946684
664,µ¶½ÅÀ¸·Î »ì°Ú´Ù,1È­ 35¼¼ ÀÚ¹ßÀû µ¶½Å?,1,2012.10.26,8386,9.67,709,14,1,0.08454567135702361,0.001669449081803005
665,µ¶½ÅÀ¸·Î »ì°Ú´Ù,2È­ ÃÊµùÀÇ Àç¹ß°ß,2,2012.11.02,3880,9.71,698,13,1,0.17989690721649484,0.0033505154639175256
666,µ¶½ÅÀ¸·Î »ì°Ú´Ù,3È­ µ¶½Å³àµéÀÇ ¼ö´Ù,3,2012.11.08,1960,9.79,646,11,1,0.3295918367346939,0.005612244897959183
667,µ¶½ÅÀ¸·Î »ì°Ú´Ù,4È­ Ã»¼Ò³âÀÇ »ç»ýÈ°,4,2012.11.15,1457,9.74,603,7,1,0.4138641043239533,0.004804392587508579
668,µ¶½ÅÀ¸·Î »ì°Ú´Ù,5È­ ½Î¿òÀÇ ±â¼ú,5,2012.11.23,1547,9.71,570,4,1,0.3684550743374273,0.002585649644473174
669,Å©¸®ÆÛ½ºÅ§(Crepuscule),Å©¸®ÆÛ½ºÅ§ ¿¹°íÆí,1,2009.11.24,13011,9.5,2513,50,1,0.19314426254707556,0.0038429021597110135
670,Å©¸®ÆÛ½ºÅ§(Crepuscule),Å©¸®ÆÛ½ºÅ§ 1È­,2,2009.12.19,10395,9.67,3482,29,1,0.33496873496873497,0.0027898027898027897
671,Å©¸®ÆÛ½ºÅ§(Crepuscule),Å©¸®ÆÛ½ºÅ§ 2È­,3,2009.12.30,5552,9.68,3258,18,1,0.5868155619596542,0.0032420749279538905
672,Å©¸®ÆÛ½ºÅ§(Crepuscule),Å©¸®ÆÛ½ºÅ§ 3È­,4,2010.01.07,2896,9.68,3268,11,1,1.1284530386740332,0.003798342541436464
673,Å©¸®ÆÛ½ºÅ§(Crepuscule),Å©¸®ÆÛ½ºÅ§ 4È­,5,2010.01.15,3021,9.69,3360,12,1,1.112214498510427,0.003972194637537239
674,´õ °ÔÀÌ¸Ó,Ã©ÅÍ 1 ¸Ó¸® À§ÀÇ Äù½ºÆ® 1È­,1,2012.07.12,19831,9.78,4313,41,1,0.2174877716706167,0.002067470122535424
675,´õ °ÔÀÌ¸Ó,Ã©ÅÍ 1 ¸Ó¸® À§ÀÇ Äù½ºÆ® 2È­,2,2012.07.20,13367,9.82,3824,35,1,0.2860776539238423,0.0026183885688636195
676,´õ °ÔÀÌ¸Ó,Ã©ÅÍ 1 ¸Ó¸® À§ÀÇ Äù½ºÆ® 3È­,3,2012.07.27,9026,9.83,3576,9,1,0.396188787945934,0.0009971194327498339
677,´õ °ÔÀÌ¸Ó,Ã©ÅÍ 1 ¸Ó¸® À§ÀÇ Äù½ºÆ® 4È­,4,2012.08.12,6209,9.83,3358,9,1,0.5408278305685296,0.0014495087775809308
678,´õ °ÔÀÌ¸Ó,Ã©ÅÍ 1 ¸Ó¸® À§ÀÇ Äù½ºÆ® 5È­,5,2012.08.17,4652,9.84,3359,7,1,0.7220550300945829,0.0015047291487532244
679,¾ÆÀÌµéÀÇ ±Ç ¼±»ý´Ô,ÇÏ ±Ç,1,2011.10.20,12112,9.69,3882,24,1,0.3205085865257596,0.0019815059445178335
680,¾ÆÀÌµéÀÇ ±Ç ¼±»ý´Ô,"°­ »ê,Â÷½Ã·ç",2,2011.10.26,4416,9.71,3819,17,1,0.8648097826086957,0.0038496376811594205
681,¾ÆÀÌµéÀÇ ±Ç ¼±»ý´Ô,¿¬Àç Áö¿¬ °øÁö,3,2011.11.02,2339,9.62,2726,15,1,1.165455322787516,0.006412997007268063
682,¾ÆÀÌµéÀÇ ±Ç ¼±»ý´Ô,"¼­ ´ã,¼­ ¼Ø,½Å¼­¸® ±×¸®°í",4,2011.11.08,1828,9.71,3593,8,1,1.9655361050328228,0.00437636761487965
683,¾ÆÀÌµéÀÇ ±Ç ¼±»ý´Ô,´Ù¸¥ ¾î¸¥,5,2011.11.10,1271,9.74,3796,9,1,2.986624704956727,0.007081038552321007
684,Á»ºñ¸¦ À§ÇÑ ³ª¶ó´Â ¾ø´Ù,1È­,1,2010.09.21,16763,9.49,803,28,1,0.04790311996659309,0.0016703454035673806
685,Á»ºñ¸¦ À§ÇÑ ³ª¶ó´Â ¾ø´Ù,2È­,2,2010.09.23,9304,9.6,707,31,1,0.07598882201203783,0.0033319002579535683
686,Á»ºñ¸¦ À§ÇÑ ³ª¶ó´Â ¾ø´Ù,3È­,3,2010.09.24,6195,9.67,705,14,1,0.11380145278450363,0.0022598870056497176
687,Á»ºñ¸¦ À§ÇÑ ³ª¶ó´Â ¾ø´Ù,4È­,4,2010.09.25,4633,9.62,674,6,1,0.14547809194906108,0.0012950571983595942
688,Á»ºñ¸¦ À§ÇÑ ³ª¶ó´Â ¾ø´Ù,5È­,5,2010.09.27,3764,9.63,672,8,1,0.1785334750265675,0.0021253985122210413
689,¶óÀÌÂ¡ÆÐ½ºÆ®º¼,¿¹°íÆí,1,2011.05.04,4762,9.54,369,8,1,0.07748845023099538,0.0016799664006719867
690,¶óÀÌÂ¡ÆÐ½ºÆ®º¼,Ä³¸¯ÅÍ µµ°¨ 01 °øÀÎ±¸,2,2011.05.06,5245,9.42,452,14,1,0.08617731172545282,0.002669208770257388
691,¶óÀÌÂ¡ÆÐ½ºÆ®º¼,1È­,3,2011.05.12,6388,9.51,534,2,1,0.08359423919849718,0.00031308703819661864
692,¶óÀÌÂ¡ÆÐ½ºÆ®º¼,2È­,4,2011.05.20,4370,9.63,460,2,1,0.10526315789473684,0.0004576659038901602
693,¶óÀÌÂ¡ÆÐ½ºÆ®º¼,Ä³¸¯ÅÍ µµ°¨ 02 ÃÖ±¤,5,2011.05.27,2730,9.5,286,0,1,0.10476190476190476,0.0
694,Natural Born Idiots,EP_1,1,2012.02.03,9568,9.74,2792,14,1,0.29180602006688966,0.001463210702341137
695,Natural Born Idiots,EP_2,2,2012.02.10,2441,9.75,2588,6,1,1.060221220811143,0.0024580090126997134
696,Natural Born Idiots,EP_3,3,2012.02.17,973,9.75,2553,3,1,2.6238437821171634,0.003083247687564234
697,Natural Born Idiots,EP_4,4,2012.02.24,642,9.75,2680,1,1,4.174454828660436,0.001557632398753894
698,Natural Born Idiots,EP_5,5,2012.03.02,941,9.77,2581,0,1,2.742826780021254,0.0
699,½ÅÀÇ ¾ð¾î,½Å³»¸² (1),1,2013.06.01,8417,9.73,1423,12,1,0.16906261138172746,0.001425686111441131
700,½ÅÀÇ ¾ð¾î,½Å³»¸² (2),2,2013.06.08,3486,9.84,1046,2,1,0.30005737234652896,0.0005737234652897303
701,½ÅÀÇ ¾ð¾î,ÀüÆÄ (1),3,2013.06.15,1938,9.84,827,3,1,0.42672858617131065,0.0015479876160990713
702,½ÅÀÇ ¾ð¾î,ÀüÆÄ (2),4,2013.06.22,1279,9.85,851,2,1,0.6653635652853792,0.001563721657544957
703,½ÅÀÇ ¾ð¾î,ÀüÆÄ (3),5,2013.06.29,1070,9.87,1068,2,1,0.9981308411214953,0.001869158878504673
704,ÆÇ´Ùµ¶,[2day] ÆÇ´Ùµ¶ ÇÁ·»Áî 1È­ - Å»³¯¶ó,1,2007.01.09,13909,9.57,233,52,1,0.016751743475447552,0.003738586526709325
705,ÆÇ´Ùµ¶,[2day] ÆÇ´Ùµ¶ ÇÁ·»Áî 2È­ - ÇÑ¼ø°£ÀÇ ²Þ,2,2007.01.09,8454,9.51,183,39,1,0.021646557842441447,0.0046132008516678496
706,ÆÇ´Ùµ¶,[2day] ÆÇ´Ùµ¶ ÇÁ·»Áî 3È­ - ¾Æ¹«°Å³ª,3,2007.01.10,6873,9.36,177,32,1,0.0257529463116543,0.00465589989815219
707,ÆÇ´Ùµ¶,[2day] ÆÇ´Ùµ¶ ÇÁ·»Áî 4È­ - °á½É¸¸ ÇÏ¸é,4,2007.01.10,6256,9.4,172,31,1,0.027493606138107418,0.004955242966751918
708,ÆÇ´Ùµ¶,[2day] ÆÇ´Ùµ¶ ÇÁ·»Áî 5È­ - ´ßµÑ±â,5,2007.01.11,5655,9.46,164,24,1,0.029000884173297967,0.004244031830238726
709,Å»(TAL),Å»(TAL) [1],1,2009.04.23,16076,9.67,3535,28,1,0.21989300821099775,0.0017417267977108733
710,Å»(TAL),Å»(TAL) [2],2,2009.04.29,8715,9.65,3494,33,1,0.4009179575444636,0.0037865748709122204
711,Å»(TAL),Å»(TAL) [3],3,2009.05.06,4462,9.66,3051,10,1,0.6837740923352756,0.0022411474675033617
712,Å»(TAL),Å»(TAL) [4],4,2009.05.11,2562,9.7,3191,10,1,1.245511319281811,0.0039032006245121
713,Å»(TAL),Å»(TAL) [5],5,2009.05.23,1676,9.73,3162,9,1,1.8866348448687351,0.0053699284009546535
714,¿ì¹Ù¿ì(¿ì¸®°¡ ¹Ù¶ó´Â ¿ì¸®),#1,1,2014.09.20,14253,9.87,1954,495,1,0.1370939451343577,0.03472953062513155
715,¿ì¹Ù¿ì(¿ì¸®°¡ ¹Ù¶ó´Â ¿ì¸®),#2,2,2014.09.21,9304,9.87,1762,434,1,0.18938091143594152,0.04664660361134996
716,¿ì¹Ù¿ì(¿ì¸®°¡ ¹Ù¶ó´Â ¿ì¸®),#3,3,2014.09.22,5930,9.86,1534,304,1,0.2586846543001686,0.051264755480607084
717,¿ì¹Ù¿ì(¿ì¸®°¡ ¹Ù¶ó´Â ¿ì¸®),#4,4,2014.09.24,4430,9.88,1859,503,1,0.41963882618510157,0.11354401805869074
718,¿ì¹Ù¿ì(¿ì¸®°¡ ¹Ù¶ó´Â ¿ì¸®),#5,5,2014.09.26,3786,9.91,2230,512,1,0.589012150026413,0.1352350765979926
719,½É½ÉÇÑ ¸¶¿Õ,#NAME?,1,2011.04.30,11955,9.61,1437,40,1,0.12020075282308658,0.003345880384776244
720,½É½ÉÇÑ ¸¶¿Õ,#NAME?,2,2011.04.30,7568,9.62,1362,12,1,0.17996828752642707,0.0015856236786469344
721,½É½ÉÇÑ ¸¶¿Õ,#NAME?,3,2011.05.01,3847,9.6,1271,5,1,0.330387314790746,0.0012997140629061607
722,½É½ÉÇÑ ¸¶¿Õ,#NAME?,4,2011.05.02,2314,9.63,1250,4,1,0.54019014693172,0.001728608470181504
723,½É½ÉÇÑ ¸¶¿Õ,#NAME?,5,2011.05.02,1767,9.66,1243,4,1,0.7034521788341822,0.0022637238256932655
724,¾Æ½º¶õ¿µ¿õÀü,01 ·¹µå½ºÅ¸ (1),1,2009.09.09,5367,9.53,262,6,1,0.04881684367430594,0.0011179429849077697
725,¾Æ½º¶õ¿µ¿õÀü,01 ·¹µå½ºÅ¸ (2),2,2009.09.16,2739,9.31,262,2,1,0.09565534866739686,0.0007301935012778386
726,¾Æ½º¶õ¿µ¿õÀü,01 ·¹µå½ºÅ¸ (3),3,2009.09.23,1479,9.58,234,2,1,0.15821501014198783,0.001352265043948614
727,¾Æ½º¶õ¿µ¿õÀü,01 ·¹µå½ºÅ¸ (4),4,2009.09.30,814,9.51,265,1,1,0.32555282555282555,0.0012285012285012285
728,¾Æ½º¶õ¿µ¿õÀü,01 ·¹µå½ºÅ¸ (5),5,2009.10.07,528,9.61,231,1,1,0.4375,0.001893939393939394
729,»õº®9½Ã,ÇÁ·Ñ·Î±×,1,2012.03.10,5817,9.73,696,6,1,0.11964930376482723,0.0010314595152140279
730,»õº®9½Ã,1È­ 6½ÃÀÇ ¼Õ´Ô,2,2012.03.16,5763,9.76,646,6,1,0.11209439528023599,0.001041124414367517
731,»õº®9½Ã,2È­ ´Ù¼¸ ³ëÀÎ,3,2012.03.21,2682,9.82,600,0,1,0.22371364653243847,0.0
732,»õº®9½Ã,3È­ Â¡Á¶,4,2012.03.24,772,9.83,592,0,1,0.7668393782383419,0.0
733,»õº®9½Ã,4È­ Â¡Á¶-2,5,2012.03.29,364,9.83,569,1,1,1.5631868131868132,0.0027472527472527475
734,¾ÆÀÌµéÀº Áñ°Ì´Ù,ÀÔÇÐ,1,2013.01.09,6466,9.81,1178,11,1,0.1821837302814723,0.0017012063099288586
735,¾ÆÀÌµéÀº Áñ°Ì´Ù,2È­,2,2013.01.17,3191,9.81,1164,3,1,0.3647759323096208,0.000940144155437167
736,¾ÆÀÌµéÀº Áñ°Ì´Ù,3È­,3,2013.01.26,1528,9.85,1201,2,1,0.7859947643979057,0.0013089005235602095
737,¾ÆÀÌµéÀº Áñ°Ì´Ù,4È­,4,2013.02.02,761,9.84,1115,1,1,1.4651773981603153,0.001314060446780552
738,¾ÆÀÌµéÀº Áñ°Ì´Ù,5È­,5,2013.02.17,518,9.82,1074,1,1,2.0733590733590734,0.0019305019305019305
739,¸ÀÁý³²³à,THE ¸ÀÁýºí·Î°Å KILLER ¸ÀÀºÁ¤,1,2012.06.01,3736,9.5,721,3,1,0.19298715203426126,0.0008029978586723769
740,¸ÀÁý³²³à,¸À¹«ÇØ ÀüÅõ²¿¾Ë¶ó,2,2012.06.08,1673,9.54,602,2,1,0.3598326359832636,0.001195457262402869
741,¸ÀÁý³²³à,ÃòÇÃ¿§Áö¿¡°Ô ´ê±â¸¦,3,2012.06.15,1305,9.5,569,1,1,0.4360153256704981,0.0007662835249042146
742,¸ÀÁý³²³à,ÃòÇÃ¿§Áö¿¡°Ô ´ê±â¸¦2,4,2012.06.29,647,9.68,768,0,1,1.187017001545595,0.0
743,¸ÀÁý³²³à,µ¥¾² ºí·Î°Å Å°¶ó,5,2012.07.08,448,9.61,655,2,1,1.4620535714285714,0.004464285714285714
744,¹Ù¶÷ÀÌ ¸Ó¹«´Â ³­,ÇÁ·Ñ·Î±×,1,2011.01.19,5690,9.62,2257,29,1,0.3966608084358524,0.005096660808435852
745,¹Ù¶÷ÀÌ ¸Ó¹«´Â ³­,[1È­] ¿ëÁÖÀÇ ÁÖÀÎ 1,2,2011.01.22,5101,9.65,2463,17,1,0.48284650068614,0.0033326798666928055
746,¹Ù¶÷ÀÌ ¸Ó¹«´Â ³­,[2È­] ¿ëÁÖÀÇ ÁÖÀÎ 2,3,2011.01.29,2905,9.68,2520,6,1,0.8674698795180723,0.002065404475043029
747,¹Ù¶÷ÀÌ ¸Ó¹«´Â ³­,[3È­] ¿ëÁÖÀÇ ÁÖÀÎ 3,4,2011.02.04,1655,9.75,2612,4,1,1.578247734138973,0.002416918429003021
748,¹Ù¶÷ÀÌ ¸Ó¹«´Â ³­,[4È­] ¿ëÁÖÀÇ ÁÖÀÎ 4,5,2011.02.12,671,9.72,2239,4,1,3.336810730253353,0.005961251862891207
749,¹æ¿ïÅä¸¶Åä,001. 2ÇÐ³â 7¹Ý Á¶¹ÎÈÆ ¿Ü 2¸í,1,2010.04.05,4912,9.63,1191,16,1,0.24246742671009772,0.003257328990228013
750,¹æ¿ïÅä¸¶Åä,002. ³Í ¼ºÀåÆÇÀÌ ¾ø´Â°Å ¾Æ´Ï¾ß?,2,2010.04.07,2364,9.68,1232,4,1,0.5211505922165821,0.001692047377326565
751,¹æ¿ïÅä¸¶Åä,003. ±×·±°Ô ÀÖ´ÂÁÙ ³­ ¸ô¶ú¾î,3,2010.04.12,944,9.63,1072,2,1,1.1355932203389831,0.00211864406779661
752,¹æ¿ïÅä¸¶Åä,004. ÇÏ·çÇÏ·ç°¡ ¹ö¶óÀÌ¾îÆ¼ ¶ó´Ï±î,4,2010.04.15,4728,9.66,915,1,1,0.1935279187817259,0.00021150592216582064
753,¹æ¿ïÅä¸¶Åä,005. ¹º°¡ º¼Ç°¾øÁö¸¸ Â¿¾î,5,2010.04.22,504,9.65,906,1,1,1.7976190476190477,0.001984126984126984
754,±â»çµµ,½ÃÀÛ,1,2011.10.21,3899,9.77,554,7,1,0.14208771479866633,0.0017953321364452424
755,±â»çµµ,³ª´Â Á×ÀÌÁö ¾Ê¾Ò´Ù.,2,2011.10.28,2605,9.76,409,2,1,0.15700575815738962,0.0007677543186180423
756,±â»çµµ,Å»Ãâ,3,2011.11.04,1467,9.75,403,3,1,0.27471029311520107,0.002044989775051125
757,±â»çµµ,Àç¼ö¾ø´Â ³ðÀº µÚ·Î ³Ñ¾îÁ®µµ ÄÚ°¡!,4,2011.11.12,908,9.78,412,1,1,0.45374449339207046,0.0011013215859030838
758,±â»çµµ,"·¹µð,¾×¼Ç!",5,2011.11.21,872,9.77,473,0,1,0.5424311926605505,0.0
759,AiMer[¿¡ÀÌ¸Ó],¿¹°í,1,2011.03.30,4295,9.59,645,12,1,0.15017462165308498,0.0027939464493597207
760,AiMer[¿¡ÀÌ¸Ó],1È­ ÀÛÀº¿ì¿¬,2,2011.04.01,3625,9.6,722,8,1,0.19917241379310344,0.002206896551724138
761,AiMer[¿¡ÀÌ¸Ó],2È­ ÀÛÀº¿ì¿¬(2),3,2011.04.08,2081,9.58,707,4,1,0.33974050937049494,0.0019221528111484864
762,AiMer[¿¡ÀÌ¸Ó],3È­ ÀÛÀº¿ì¿¬(3),4,2011.04.15,1431,9.55,641,2,1,0.4479385045422781,0.001397624039133473
763,AiMer[¿¡ÀÌ¸Ó],4È­ ÀÛÀº¿ì¿¬(4),5,2011.04.22,955,9.61,719,2,1,0.7528795811518325,0.0020942408376963353
764,´Ã Çª¸¥ ÂþÁý,ÇÁ·Ñ·Î±×,1,2012.07.02,6007,9.79,5881,51,1,0.9790244714499751,0.008490094889295821
765,´Ã Çª¸¥ ÂþÁý,1È­,2,2012.07.09,4209,9.81,6067,31,1,1.4414350201948207,0.007365169874079354
766,´Ã Çª¸¥ ÂþÁý,2È­,3,2012.07.16,1841,9.81,5206,15,1,2.827810972297664,0.008147745790331342
767,´Ã Çª¸¥ ÂþÁý,3È­,4,2012.07.22,865,9.82,4937,8,1,5.707514450867052,0.009248554913294798
768,´Ã Çª¸¥ ÂþÁý,4È­,5,2012.07.30,533,9.84,4816,7,1,9.03564727954972,0.013133208255159476
769,¾Æ´Â»ç¶÷ ÀÌ¾ß±â,01 25¼¼ ¼¼¿©ÀÚ,1,2011.07.03,6026,9.64,1643,24,1,0.27265184201792236,0.003982741453700631
770,¾Æ´Â»ç¶÷ ÀÌ¾ß±â,02 Çà¿îÀÇ ¿©½ÅÀº ³ªÀÇ Æí,2,2011.07.07,3171,9.63,1516,10,1,0.478082623777988,0.00315357931251971
771,¾Æ´Â»ç¶÷ ÀÌ¾ß±â,03 µå¶ó¸¶¿Í Çö½Ç,3,2011.08.16,1853,9.65,1458,3,1,0.7868321640582838,0.0016189962223421479
772,¾Æ´Â»ç¶÷ ÀÌ¾ß±â,04 ³²ÀÚµµ ¾ø´Âµ¥,4,2011.08.21,1028,9.66,1435,5,1,1.3959143968871595,0.0048638132295719845
773,¾Æ´Â»ç¶÷ ÀÌ¾ß±â,µîÀåÀÎ¹°¼Ò°³1,5,2011.08.24,1425,9.61,1272,4,1,0.8926315789473684,0.002807017543859649
774,°³ÆÇ,°³ÆÇ -1È­-,1,2008.12.19,7090,9.57,409,11,1,0.05768688293370945,0.0015514809590973203
775,°³ÆÇ,°³ÆÇ -2È­-,2,2008.12.26,3519,9.59,380,7,1,0.10798522307473714,0.0019892014776925265
776,°³ÆÇ,°³ÆÇ -3È­-,3,2009.01.02,1718,9.63,428,3,1,0.24912689173457508,0.0017462165308498253
777,°³ÆÇ,°³ÆÇ -4È­-,4,2009.01.09,809,9.68,401,4,1,0.4956736711990111,0.004944375772558714
778,°³ÆÇ,°³ÆÇ -5È­-,5,2009.01.16,508,9.63,431,2,1,0.8484251968503937,0.003937007874015748
779,±×¸°½º¸¶ÀÏ,ÇÁ·Ñ·Î±×,1,2009.05.29,1014,9.64,446,8,1,0.43984220907297833,0.007889546351084813
780,±×¸°½º¸¶ÀÏ,ºÏ±ØÀÇ ¹°¹ü,2,2009.05.30,883,9.76,719,6,1,0.8142695356738392,0.006795016987542469
781,±×¸°½º¸¶ÀÏ,³ì´Â ¾óÀ½,3,2009.06.09,1336,9.66,689,6,1,0.5157185628742516,0.004491017964071856
782,¹ÌÄ£G (¹Ì¼÷ÇÑÄ£±¸´ÂG±¸ÀÎ),1,1,2011.05.01,4211,9.68,1607,8,1,0.38161956779862266,0.00189978627404417
783,¹ÌÄ£G (¹Ì¼÷ÇÑÄ£±¸´ÂG±¸ÀÎ),2,2,2011.05.08,1725,9.77,1872,8,1,1.085217391304348,0.00463768115942029
784,¹ÌÄ£G (¹Ì¼÷ÇÑÄ£±¸´ÂG±¸ÀÎ),3,3,2011.05.15,849,9.72,1565,3,1,1.8433451118963486,0.0035335689045936395
785,¹ÌÄ£G (¹Ì¼÷ÇÑÄ£±¸´ÂG±¸ÀÎ),4,4,2011.05.22,474,9.79,1765,0,1,3.7236286919831225,0.0
786,¹ÌÄ£G (¹Ì¼÷ÇÑÄ£±¸´ÂG±¸ÀÎ),5,5,2011.05.29,344,9.83,1926,1,1,5.598837209302325,0.0029069767441860465
787,¿ø »Ô·¯½º ¿ø,0,1,2013.05.11,2397,9.77,1553,12,1,0.6478931998331248,0.0050062578222778474
788,¿ø »Ô·¯½º ¿ø,1-¼Ò³â&¼Ò³â,2,2013.05.12,1928,9.77,1769,12,1,0.9175311203319502,0.006224066390041493
789,¿ø »Ô·¯½º ¿ø,2,3,2013.05.20,800,9.79,1765,6,1,2.20625,0.0075
790,¿ø »Ô·¯½º ¿ø,3,4,2013.05.27,409,9.82,1942,3,1,4.748166259168704,0.007334963325183374
791,¿ø »Ô·¯½º ¿ø,4,5,2013.06.03,370,9.84,1717,3,1,4.640540540540541,0.008108108108108109
792,Æ¯¼ö ¿µ´É·Â ¼ö»ç¹Ý,¿¹°íÆí,1,2009.11.16,1899,9.55,1819,8,1,0.9578725645076356,0.00421274354923644
793,Æ¯¼ö ¿µ´É·Â ¼ö»ç¹Ý,ÆÄµ¿(1),2,2009.12.17,1530,9.69,2204,9,1,1.4405228758169935,0.0058823529411764705
794,Æ¯¼ö ¿µ´É·Â ¼ö»ç¹Ý,ÆÄµ¿(2),3,2009.12.25,931,9.68,2149,5,1,2.308270676691729,0.0053705692803437165
795,Æ¯¼ö ¿µ´É·Â ¼ö»ç¹Ý,ÆÄµ¿(3),4,2010.01.01,548,9.64,1905,4,1,3.4762773722627736,0.0072992700729927005
796,Æ¯¼ö ¿µ´É·Â ¼ö»ç¹Ý,ÆÄµ¿(4),5,2010.01.08,422,9.68,2122,1,1,5.028436018957346,0.002369668246445498
797,¼Ò³âÀü[Limit],ÇÁ·Ñ·Î±×,1,2010.09.09,1607,9.48,854,3,1,0.5314250155569384,0.001866832607342875
798,¼Ò³âÀü[Limit],1È­ - ÇÊ¿¬(1),2,2010.09.16,1149,9.45,1021,1,1,0.8885987815491732,0.0008703220191470844
799,¼Ò³âÀü[Limit],2È­ - ÇÊ¿¬(2),3,2010.09.30,443,9.48,793,1,1,1.7900677200902935,0.002257336343115124
800,¼Ò³âÀü[Limit],3È­ - ÇÊ¿¬(3),4,2010.10.07,237,9.52,690,1,1,2.911392405063291,0.004219409282700422
801,¼Ò³âÀü[Limit],4È­ - ÇÊ¿¬(4),5,2010.10.14,227,9.5,738,1,1,3.251101321585903,0.004405286343612335
802,»÷ÇÁ¶õ½Ã½ºÄÚ È­¶û°ü,»÷ÇÁ¶õ½Ã½ºÄÚ È­¶û°ü,1,2011.06.12,7240,9.71,1537,12,1,0.21229281767955802,0.0016574585635359116
803,»÷ÇÁ¶õ½Ã½ºÄÚ È­¶û°ü,È­¶û°ü¿¡ µé¾î°¡º¸´Ù.,2,2011.06.20,4018,9.68,1469,5,1,0.36560477849676454,0.0012444001991040318
804,»÷ÇÁ¶õ½Ã½ºÄÚ È­¶û°ü,ÇÁ·ÎÀÌµå ¹Ú»ç,3,2011.07.04,2227,9.69,1401,2,1,0.6290974405029187,0.000898069151324652
805,»÷ÇÁ¶õ½Ã½ºÄÚ È­¶û°ü,¼ö¾÷ Ã¹ ³¯ 1.,4,2011.07.29,1441,9.74,1449,3,1,1.0055517002081888,0.002081887578070784
806,»÷ÇÁ¶õ½Ã½ºÄÚ È­¶û°ü,¼ö¾÷ Ã¹ ³¯ 2.,5,2011.08.19,774,9.74,1454,1,1,1.8785529715762275,0.0012919896640826874
807,Ä«¿À½º¾îÅÃ,ÇÁ·Ñ·Î±×,1,2011.05.02,2750,9.58,1901,16,1,0.6912727272727273,0.005818181818181818
808,Ä«¿À½º¾îÅÃ,1È­ <ep01- ÀÌ»óÇÑ ¿µ¿õµé1>,2,2011.05.08,2212,9.77,3364,6,1,1.5207956600361663,0.0027124773960217
809,Ä«¿À½º¾îÅÃ,2È­ <ep01- ÀÌ»óÇÑ ¿µ¿õµé2>,3,2011.05.15,1080,9.77,3037,5,1,2.812037037037037,0.004629629629629629
810,Ä«¿À½º¾îÅÃ,3È­ <ep01-ÀÌ»óÇÑ ¿µ¿õµé3>,4,2011.05.22,556,9.72,2540,4,1,4.568345323741007,0.007194244604316547
811,Ä«¿À½º¾îÅÃ,4È­ <ep02-ÃÊ´ë¹ÞÁö ¾ÊÀº ¼Õ´Ô1>,5,2011.05.29,416,9.73,2455,4,1,5.9014423076923075,0.009615384615384616
812,¼Ò³âµéÀº ¹«¾ùÀ» ÇÏ°í ÀÖÀ»±î,.,1,2009.08.30,6947,9.82,5064,103,1,0.7289477472290197,0.014826543831869873
813,¼Ò³âµéÀº ¹«¾ùÀ» ÇÏ°í ÀÖÀ»±î,.,2,2009.08.30,2466,9.84,4891,90,1,1.9833738848337388,0.0364963503649635
814,¼Ò³âµéÀº ¹«¾ùÀ» ÇÏ°í ÀÖÀ»±î,.,3,2009.08.30,1237,9.84,4753,21,1,3.8423605497170574,0.016976556184316895
815,¼Ò³âµéÀº ¹«¾ùÀ» ÇÏ°í ÀÖÀ»±î,.,4,2009.08.30,914,9.83,4625,10,1,5.060175054704596,0.010940919037199124
816,¼Ò³âµéÀº ¹«¾ùÀ» ÇÏ°í ÀÖÀ»±î,.,5,2010.02.03,416,9.85,4951,6,1,11.901442307692308,0.014423076923076924
817,¹öÆÛ¸µ,ÇÁ·Ñ·Î±×,1,2013.08.03,4661,9.73,266,37,1,0.05706929843381248,0.007938210684402489
818,¹öÆÛ¸µ,1È­,2,2013.08.10,3925,9.77,299,35,1,0.07617834394904459,0.008917197452229299
819,¹öÆÛ¸µ,2È­,3,2013.08.17,1508,9.76,306,31,1,0.20291777188328913,0.020557029177718834
820,¹öÆÛ¸µ,3È­,4,2013.08.24,420,9.86,313,33,1,0.7452380952380953,0.07857142857142857
821,¹öÆÛ¸µ,4È­,5,2013.08.31,177,9.87,347,31,1,1.96045197740113,0.1751412429378531
