Unnamed: 0,제목,장르,일상,개그,판타지,액션,드라마,순정,감성,스릴러,시대극,스포츠,좋아요,별점,정식연재
63,새벽인력,일상,1,0,0,0,1,0,0,0,0,0,355,9.73,0
64,돈벌다 만난사이,일상,1,0,0,0,0,0,0,0,0,0,524,9.88,0
65,메모리얼,일상,1,0,0,0,0,0,0,1,0,0,487,9.71,0
66,닐리리맘봉,일상,1,1,0,0,0,0,0,0,0,0,"1,271",9.9,0
67,500원 토끼,일상,1,1,0,0,0,0,0,0,0,0,"3,512",9.72,0
68,오늘을 담다.,일상,1,0,0,0,0,0,1,0,0,0,"3,962",9.89,0
69,이불 밖 달리기,일상,1,1,0,0,0,0,0,0,0,0,"1,068",9.89,0
70,콩닥콩닥어린이집,일상,1,1,0,0,0,0,0,0,0,0,352,9.88,0
71,헤이쟝,일상,1,1,0,0,0,0,0,0,0,0,309,9.71,0
72,육아도 경력이 될 수 있다면,일상,1,0,0,0,0,0,1,0,0,0,223,9.71,0
73,식봉툰,일상,1,0,0,0,0,0,0,0,0,0,702,8.84,0
74,모두의 미아씨,일상,1,0,0,0,1,0,0,0,0,0,873,9.44,0
75,방구석수필,일상,1,0,0,0,0,0,1,0,0,0,"1,422",9.9,0
76,오늘도 분홍했분홍,일상,1,0,0,0,0,0,1,0,0,0,"4,412",9.85,0
77,뭉가툰,일상,1,1,0,0,0,0,0,0,0,0,740,9.82,0
78,김작가의 오춘기 그림일기,일상,1,0,0,0,0,0,1,0,0,0,"1,063",9.84,0
79,쿤도덥브라더스,일상,1,0,0,0,0,0,1,0,0,0,"2,025",9.88,0
80,하루땃따,일상,1,1,0,0,0,0,0,0,0,0,195,9.74,0
81,만유인력의 법칙,일상,1,0,1,0,0,0,0,0,0,0,442,9.7,0
82,꿀꾸리? 꿈꾸리! - 시즌 2,일상,1,0,0,0,0,0,1,0,0,0,721,8.67,0
83,우주n은하,일상,1,0,0,0,0,0,1,0,0,0,"2,548",9.87,0
84,윤덩까툰,일상,1,1,0,0,0,0,0,0,0,0,"4,238",9.48,0
85,너구리네 육아일기,일상,1,0,0,0,0,0,0,0,0,0,"4,529",9.77,0
86,주짓수와 고양이,일상,1,0,0,0,0,0,0,0,0,1,"1,390",9.68,0
87,말레이시아 리스키씨,일상,1,1,0,0,0,0,0,0,0,0,"1,122",9.89,0
88,게임에 접속했습니다!,일상,1,0,1,0,0,0,0,0,0,0,"3,354",9.78,0
89,158동 진상부부,일상,1,0,0,0,0,0,0,0,0,0,"1,542",9.38,0
90,휴지통,일상,1,0,0,0,0,0,0,0,0,0,"4,716",9.88,0
91,이래봬도2학년,일상,1,0,0,0,0,0,0,0,0,0,"1,701",9.73,0
92,반오십부터 그림일기,일상,1,0,0,0,0,0,1,0,0,0,751,9.85,0
93,치즈범벅,일상,1,0,0,0,0,0,0,0,0,0,"4,214",9.84,0
94,홍시관찰일기,일상,1,0,0,0,0,0,0,0,0,0,"2,470",9.85,0
95,"네, 아직 아파요",일상,1,0,0,0,0,0,0,0,0,0,593,9.47,0
