Unnamed: 0,제목,장르,일상,개그,판타지,액션,드라마,순정,감성,스릴러,시대극,스포츠,좋아요,별점,정식연재
705,나는 고양이와 살고 있다,일상,1,0,0,0,0,0,0,0,0,0,464,9.85,0
706,아무 말이나 해(보) SHOW,일상,1,0,0,0,0,0,0,0,0,0,723,9.84,0
707,오늘도 버섯전골,일상,1,1,0,0,0,0,0,0,0,0,985,9.52,0
708,고란툰,일상,1,0,0,0,0,0,0,0,0,0,180,8.27,0
709,마루여고,일상,1,0,0,0,0,0,0,0,0,0,90,9.72,0
710,러보얌♥,일상,1,0,0,0,0,0,0,0,0,0,110,9.76,0
711,나비일기,일상,1,1,0,0,0,0,0,0,0,0,107,9.83,0
712,「김네몽's 그림일기」-시즌3.육아일기,일상,1,0,0,0,0,0,0,0,0,0,237,9.71,0
713,몬딕,일상,1,0,1,0,0,0,0,0,0,0,390,9.87,0
714,괭씨의 나태한 세상,일상,1,0,0,0,0,0,0,0,0,0,715,9.63,0
715,꿰인 탄,일상,1,0,0,1,0,0,0,0,0,0,203,9.37,0
716,뿔뿔뿔뿔,일상,1,0,0,0,1,0,0,0,0,0,293,9.82,0
717,모두 어디로 간걸까?,일상,1,0,0,0,0,0,1,0,0,0,39,9.7,0
718,BO고또'보'고,일상,1,0,0,0,0,0,0,0,0,0,532,9,0
719,망상특급열차,일상,1,1,0,0,0,0,0,0,0,0,514,9.64,0
720,다락방을 찾아서,일상,1,0,1,0,0,0,0,0,0,0,372,9.46,0
721,잊지않아,일상,1,0,1,0,0,0,0,0,0,0,"1,905",9.55,0
722,꿀렁한 하루,일상,1,1,0,0,0,0,0,0,0,0,"1,195",9.6,0
723,마미기숙사,일상,1,1,0,0,0,0,0,0,0,0,653,9.84,0
724,점심을 위하여,일상,1,0,0,1,0,0,0,0,0,0,55,9.27,0
725,볼빨간씨의 하루,일상,1,1,0,0,0,0,0,0,0,0,59,9.26,0
726,초딩생활,일상,1,0,0,0,0,0,0,0,0,0,262,9.75,0
727,제가 그냥 보라색을 좋아하는데요 (제.그.보.),일상,1,0,1,0,0,0,0,0,0,0,954,9.86,0
728,올빼미집,일상,1,1,0,0,0,0,0,0,0,0,529,9.09,0
729,"할로, 케빈!",일상,1,1,0,0,0,0,0,0,0,0,364,9.81,0
730,소원을 이루어 줄게!,일상,1,1,0,0,0,0,0,0,0,0,82,9.53,0
731,블캣다이어리,일상,1,0,0,0,0,0,0,0,0,0,420,9.73,0
732,우리는한팀,일상,1,0,0,0,0,0,0,0,0,0,193,9.05,0
733,딸기랑 나랑,일상,1,0,0,0,0,0,0,0,0,0,127,9.86,0
734,생생 생활기록부,일상,1,1,0,0,0,0,0,0,0,0,944,9.86,0
735,그것은 어느날,일상,1,0,0,0,0,0,0,0,0,0,"2,581",9.85,0
736,날것,일상,1,0,0,0,0,0,1,0,0,0,172,8.78,0
737,아리랑부부,일상,1,1,0,0,0,0,0,0,0,0,121,9.81,0
738,상어 이야기,일상,1,0,0,0,0,0,0,0,0,1,114,9.43,0
739,마이툰,일상,1,0,0,0,0,0,0,0,0,0,263,9.67,0
740,위험한 연자씨,일상,1,1,0,0,0,0,0,0,0,0,817,9.71,0
741,정스 스토리,일상,1,0,0,0,0,0,0,0,0,0,430,9.4,0
742,오토리버스,일상,1,0,0,0,0,0,1,0,0,0,215,9.76,0
743,괴발개발,일상,1,0,0,0,0,0,0,0,0,0,339,9.85,0
744,안쭝의 소심러브,일상,1,0,0,0,0,0,0,0,0,0,419,9.67,0
745,사각사각,일상,1,0,0,0,0,0,0,0,0,0,694,9.86,0
746,개화여자정보고등학교,일상,1,0,0,0,0,0,1,0,0,0,221,9.8,0
747,사사롭지만 좋은 날,일상,1,0,0,0,0,0,0,0,0,0,179,9.86,0
748,구리의 구리구리,일상,1,1,0,0,0,0,0,0,0,0,255,9.85,0
749,이름 없는 나에게,일상,1,0,0,0,1,0,0,0,0,0,52,9.11,0
750,개집사일기,일상,1,1,0,0,0,0,0,0,0,0,341,9.8,0
751,죽고 못사는 남매,일상,1,0,0,0,0,0,0,0,0,0,118,9.8,0
752,심모람 채널,일상,1,0,0,0,0,0,0,0,0,0,97,9.83,0
753,숙이네 이야기,일상,1,0,0,0,0,0,0,0,0,0,402,9.82,0
754,유자의 오늘,일상,1,0,0,0,0,0,0,0,0,0,532,9.86,0
755,영광에 매이다,일상,1,1,0,0,0,0,0,0,0,0,140,9.74,0
756,내가 아는동생은 지금,일상,1,0,0,0,0,0,0,0,0,0,83,9.78,0
757,도니월드,일상,1,1,0,0,0,0,0,0,0,0,50,8.24,0
758,pponnie(뽀니),일상,1,1,0,0,0,0,0,0,0,0,"1,286",9.85,0
759,동물소대,일상,1,0,0,0,1,0,0,0,0,0,101,9.39,0
760,크리스탈 레인져,일상,1,0,0,1,0,0,0,0,0,0,50,9.57,0
761,유령라이프,일상,1,0,0,0,0,0,1,0,0,0,477,9.86,0
762,아메리카노,일상,1,1,0,0,0,0,0,0,0,0,126,8.78,0
763,빨간눈 토끼,일상,1,0,0,0,0,0,0,0,0,0,300,8.52,0
764,영어전쟁,일상,1,1,0,0,0,0,0,0,0,0,711,9.86,0
765,네셔널 지오캠퍼스,일상,1,1,0,0,0,0,0,0,0,0,34,9.78,0
766,룸메이트,일상,1,0,0,0,1,0,0,0,0,0,52,9.57,0
767,정팔이는 엄마,일상,1,1,0,0,0,0,0,0,0,0,72,9.76,0
768,슭이로운생활,일상,1,1,0,0,0,0,0,0,0,0,62,9.66,0
769,바리바리발발,일상,1,1,0,0,0,0,0,0,0,0,786,9.86,0
770,스리핑거,일상,1,0,0,0,0,0,0,0,0,0,275,9.65,0
771,안해요씨,일상,1,0,0,0,0,0,0,0,0,0,24,9.8,0
772,공감없는이야기,일상,1,1,0,0,0,0,0,0,0,0,106,8.97,0
773,만하생,일상,1,0,0,0,0,0,0,0,0,0,881,9.86,0
774,지구평화,일상,1,0,0,0,0,0,1,0,0,0,154,9.53,0
775,상상고양이,일상,1,0,0,0,0,0,1,0,0,0,"1,548",9.86,0
776,너의 목소리가 보여,일상,1,1,0,0,0,0,0,0,0,0,801,9.86,0
777,화니의소금주방,일상,1,0,0,0,0,0,0,0,0,0,42,9.55,0
778,간밧떼 유학생 시즌2,일상,1,0,0,0,0,0,0,0,0,0,35,9.61,0
779,달팽이 일기,일상,1,0,0,0,0,0,1,0,0,0,78,9.83,0
780,"어서옵셔, 식당입니다.",일상,1,0,0,0,0,0,0,0,0,0,127,9.39,0
781,소년들은 무엇을 하고 있을까,일상,1,1,0,0,0,0,0,0,0,0,"1,027",9.85,1
782,안녕 도쿄,일상,1,0,0,0,0,0,0,0,0,0,46,9.8,0
783,거꾸로-툰,일상,1,0,0,0,0,0,0,0,0,0,"1,037",9.85,0
784,상냥들,일상,1,0,0,0,0,1,0,0,0,0,"1,223",9.74,0
785,베이비시터,일상,1,0,0,0,0,0,0,0,0,0,22,9.74,0
786,뽀거데이,일상,1,0,0,0,0,0,0,0,0,0,51,9.76,0
787,이여인,일상,1,0,0,0,0,0,0,0,0,0,323,9.85,0
788,하나마나,일상,1,1,0,0,0,0,0,0,0,0,654,9.86,0
789,ADHD 생활기,일상,1,0,0,0,0,0,0,0,0,0,478,9.76,0
790,붕어빵 육아일기,일상,1,0,0,0,1,0,0,0,0,0,188,9.3,0
792,무색소녀,일상,1,0,0,0,0,0,0,0,0,0,564,9.85,0
793,애니멀'즈 매거진,일상,1,0,0,0,0,0,0,0,0,0,752,9.79,0
794,오늘은 좀 더 낫겠지,일상,1,0,0,0,0,0,1,0,0,0,88,9.68,0
795,어느 베개의 이야기,일상,1,0,0,0,0,0,1,0,0,0,24,9.77,0
796,안단테 노선생,일상,1,0,0,0,1,0,0,0,0,0,80,9.67,0
797,New 생각대로 양파링,일상,1,1,0,0,0,0,0,0,0,0,45,9.44,0
798,그들의 휴일,일상,1,1,0,0,0,0,0,0,0,0,28,9.76,0
799,여기까지 살아왔다!,일상,1,0,0,0,0,0,0,0,0,0,18,9.17,0
800,꽁치가 파닥파닥,일상,1,0,0,0,0,0,0,0,0,0,85,9.69,0
801,19평 사바나,일상,1,0,0,0,0,0,0,0,0,0,177,9.54,0
802,커피와 스무디,일상,1,0,0,0,0,0,1,0,0,0,801,9.85,0
803,정글라이프,일상,1,0,0,0,0,0,1,0,0,0,273,9.84,0
804,엄마는 고슴도치,일상,1,0,0,0,0,0,0,0,0,0,18,9.52,0
805,소소캣다이어리,일상,1,0,0,0,0,0,1,0,0,0,67,9.76,0
806,괜찮아yo,일상,1,0,0,0,0,0,0,0,0,0,25,9.77,0
807,그린애플,일상,1,1,0,0,0,0,0,0,0,0,402,9.8,0
808,안녕 내 스물일곱,일상,1,0,0,0,0,0,1,0,0,0,615,9.85,0
809,다크써클 몸빼바지,일상,1,0,0,0,0,0,1,0,0,0,312,9.81,0
810,평일의 나,일상,1,0,0,0,0,0,0,0,0,0,792,9.86,0
811,엄마왜,일상,1,0,0,0,0,0,0,0,0,0,24,9.62,0
812,어제 오늘 그리고 내일,일상,1,0,0,0,0,0,0,0,0,0,97,9.86,0
813,달자 다이어리,일상,1,1,0,0,0,0,0,0,0,0,58,9.03,0
814,난 누군가 또 여긴 어딘가,일상,1,1,0,0,0,0,0,0,0,0,12,9.61,0
815,불만시대,일상,1,0,0,0,0,0,1,0,0,0,219,9.63,1
816,아무래도 좋은 이야기,일상,1,0,0,0,1,0,0,0,0,0,42,9.67,0
817,잉문학,일상,1,1,0,0,0,0,0,0,0,0,337,9.84,0
818,오늘의 온도,일상,1,0,0,0,0,1,0,0,0,0,583,9.85,0
819,여자의 마음,일상,1,0,0,0,0,0,0,0,0,0,"2,380",9.62,0
820,고야의 일상판타지,일상,1,0,0,0,0,0,1,0,0,0,58,9.8,0
821,"오늘도 무사히,",일상,1,0,0,0,0,0,0,0,0,0,93,9.63,0
822,조금 더 가까이,일상,1,0,0,0,1,0,0,0,0,0,"1,475",9.85,0
823,돼지코,일상,1,0,0,0,0,0,0,0,0,0,29,9.6,0
824,추억이 뭉게뭉게,일상,1,0,0,0,0,0,0,0,0,0,16,9.42,0
825,뽀짜툰,일상,1,0,0,0,0,0,1,0,0,0,95,9.85,0
826,쏠쏠한 일기,일상,1,0,0,0,0,0,1,0,0,0,53,9.81,0
827,NEIGHBORHOOD,일상,1,0,0,0,0,0,0,0,0,0,22,9.59,0
828,글더하기그림,일상,1,0,0,0,0,0,1,0,0,0,259,9.82,0
829,똥끼네,일상,1,0,0,0,0,0,0,0,0,0,9,9.43,0
830,나른해 별곰,일상,1,0,0,0,0,0,1,0,0,0,108,8.81,0
831,오가닉하게 우프!,일상,1,1,0,0,0,0,0,0,0,0,537,9.85,0
832,델리의 말랑말랑,일상,1,0,0,0,0,0,0,0,0,0,30,9.03,0
833,밴디지!,일상,1,0,0,0,1,0,0,0,0,0,240,9.68,0
834,씁쓸한 하루,일상,1,0,0,0,0,0,0,0,0,0,770,9.83,0
835,소리다이어리,일상,1,0,0,0,0,0,0,0,0,0,200,9.78,0
836,남자들의 수다,일상,1,1,0,0,0,0,0,0,0,0,26,9.7,0
837,푸디와 친구들,일상,1,1,0,0,0,0,0,0,0,0,35,7.78,0
838,어나더 월드,일상,1,0,0,0,1,0,0,0,0,0,64,9.85,0
839,꽃보다 요지경,일상,1,0,0,0,0,0,0,0,0,0,104,9.46,0
840,케이쿤 이야기,일상,1,1,0,0,0,0,0,0,0,0,14,9.38,0
841,피펨즈(FEFEMZ),일상,1,1,0,0,0,0,0,0,0,0,23,9.33,0
842,빅플 크루,일상,1,0,0,0,0,0,0,0,0,0,158,9.33,0
843,"발로 그린 이야기,",일상,1,0,0,0,0,0,0,0,0,0,71,9.82,0
844,은희공방,일상,1,0,0,0,0,0,1,0,0,0,21,9.41,0
845,김강사 이야기,일상,1,0,0,0,0,0,1,0,0,0,15,9.8,0
846,언더그라운드,일상,1,0,0,0,0,0,0,0,0,0,17,9.71,0
848,불새,일상,1,0,0,0,0,0,0,0,0,0,20,9.62,0
849,프리템포,일상,1,1,0,0,0,0,0,0,0,0,"1,832",9.86,0
850,마니콩,일상,1,0,0,0,0,0,0,0,0,0,15,9.62,0
851,조각일기,일상,1,0,0,0,0,0,0,0,0,0,103,9.77,0
852,인디뽀뽀요,일상,1,1,0,0,0,0,0,0,0,0,7,9.58,0
853,하루,일상,1,0,0,0,0,0,0,0,0,0,16,9.67,0
854,데이드림,일상,1,0,0,0,0,0,1,0,0,0,16,9.84,0
855,아띠아노,일상,1,0,0,0,0,0,0,0,0,0,139,9.36,0
856,아버지와 아들,일상,1,0,0,0,0,0,1,0,0,0,82,9.75,0
857,씁쓸남 유남생,일상,1,0,0,0,1,0,0,0,0,0,207,9.81,0
858,인생은꿈맛,일상,1,0,0,0,0,0,0,0,0,0,141,9.35,0
859,[하마탱] 일편단심 하여가,일상,1,0,0,0,0,0,1,0,0,0,14,9.5,0
860,카레카레,일상,1,1,0,0,0,0,0,0,0,0,16,9.64,0
861,[톡툰],일상,1,0,0,0,0,0,1,0,0,0,191,9.61,0
862,곰팅이의 하늘우체통,일상,1,0,0,0,0,0,1,0,0,0,190,9.57,0
863,콩담콩담,일상,1,0,0,0,0,0,0,0,0,0,6,9.6,0
864,달댕이는 10년차,일상,1,0,0,0,0,0,1,0,0,0,12,9.8,0
865,젠체스토리,일상,1,0,0,0,0,0,1,0,0,0,141,9.37,0
866,유쾌빽양의 사회적응기,일상,1,0,0,0,0,0,0,0,0,0,444,9.57,0
867,블링유에의 텔레파시푸시,일상,1,0,0,0,0,0,1,0,0,0,5,8.65,0
868,Freeman Lee,일상,1,0,0,0,0,0,0,0,0,0,13,9.74,0
869,롤랜드 엠블리,일상,1,0,0,0,0,0,1,0,0,0,265,9.49,0
870,달달한 하루,일상,1,0,0,0,0,0,0,0,0,0,15,9.52,0
871,토닥토닥 그라피티,일상,1,0,0,0,0,0,1,0,0,0,6,9.53,0
872,뿌바와 친구들,일상,1,0,0,0,0,0,0,0,0,0,7,8.78,0
873,마장박 다이어리,일상,1,0,0,0,0,0,0,0,0,0,54,8.66,0
879,팬시x팬시,개그,0,1,0,0,0,1,0,0,0,0,"3,756",9.65,1
883,인문학 거저보기 ~서양철학편~,개그,0,1,0,0,0,0,0,0,1,0,"2,211",9.93,0
884,아틀레냐 비바체,개그,0,1,1,0,0,0,0,0,0,0,"5,052",9.87,0
885,머슬툰,개그,0,1,0,0,0,0,0,0,0,1,444,9.05,0
888,이세계 국밥 마스터,개그,0,1,1,0,0,0,0,0,0,0,"4,064",9.57,0
890,제목이 7080 만화,개그,0,1,0,0,1,0,0,0,0,0,"2,388",9.9,0
892,누들트럭,개그,0,1,0,0,0,0,1,0,0,0,796,9.22,0
898,만화 임진왜란,개그,0,1,0,0,0,0,0,0,1,0,"2,673",9.78,0
900,저승 화랑전,개그,0,1,1,0,0,0,0,0,0,0,"4,666",9.9,0
901,저승 화랑 이야기,개그,0,1,1,0,0,0,0,0,0,0,"3,902",9.9,0
910,CMYK,개그,0,1,0,0,0,0,1,0,0,0,"4,583",9.12,0
913,이딴여행,개그,0,1,0,0,0,0,1,0,0,0,"1,363",9.76,0
914,S탐정 앙드레,개그,0,1,0,0,1,0,0,0,0,0,"1,031",9.93,0
915,시크릿 하숙집,개그,0,1,1,0,0,0,0,0,0,0,366,9.68,0
916,모두의 단편선,개그,0,1,0,0,0,0,1,0,0,0,"1,608",9.84,0
918,오 사장님은 상사병,개그,0,1,0,0,0,1,0,0,0,0,129,9.34,0
920,당할연,개그,0,1,0,0,1,0,0,0,0,0,669,7.97,0
922,능력안경,개그,0,1,1,0,0,0,0,0,0,0,"7,883",9.9,0
923,랑데뷰,개그,0,1,0,0,1,0,0,0,0,0,537,9.89,0
926,착한남자 김우진,개그,0,1,0,0,1,0,0,0,0,0,728,8.33,0
930,모험가 용역 장씨,개그,0,1,1,0,0,0,0,0,0,0,684,9.82,0
932,연애싫어,개그,0,1,0,0,0,1,0,0,0,0,"27,229",9.85,0
933,매지컬팡,개그,0,1,1,0,0,0,0,0,0,0,"1,187",9.84,0
934,옆집에 그녀가 산다,개그,0,1,0,0,1,0,0,0,0,0,871,9.63,0
935,홍시는 날 좋아해!,개그,0,1,0,0,0,1,0,0,0,0,"23,330",9.89,1
936,내손잡아줄사람,개그,0,1,0,0,0,1,0,0,0,0,"27,779",9.83,0
938,대학일기,개그,0,1,0,0,0,0,0,0,0,0,"73,426",9.9,1
939,예쁘니까 괜찮아,개그,0,1,0,0,0,0,0,0,0,0,"7,202",9.86,0
940,너는 나의 2%,개그,0,1,0,0,0,1,0,0,0,0,31,9.59,0
943,그리고 이로써 차차,개그,0,1,1,0,0,0,0,0,0,0,156,9.2,0
944,사적인 거리,개그,0,1,0,0,0,1,0,0,0,0,"10,985",9.85,0
945,도담도담,개그,0,1,1,0,0,0,1,0,0,0,"20,968",9.88,0
947,같이 살아요!,개그,0,1,0,0,0,1,0,0,0,0,"5,212",9.9,0
951,수상한복학생,개그,0,1,0,0,0,1,0,0,0,0,"6,065",9.85,0
953,드림캡슐(Dream Capsule),개그,0,1,0,1,0,0,0,0,0,0,"11,564",9.89,0
955,리얼 소꿉친구,개그,0,1,0,0,0,1,0,0,0,0,"4,195",9.86,0
956,흔하지 않은 로맨스 유형,개그,0,1,0,0,0,1,0,0,0,0,"6,075",9.89,0
960,언데드의사 김해골,개그,0,1,1,0,0,0,0,0,0,0,"10,301",9.9,0
962,간떨어지는 동거,개그,0,1,0,0,0,1,0,0,0,0,"6,329",9.86,1
963,우당탕탕 휘삐 생존기,개그,0,1,0,0,0,0,0,0,0,0,17,8.89,0
965,공주님 마음대로!,개그,0,1,0,0,0,1,0,0,0,0,"2,086",9.38,0
966,복학생 정순이,개그,0,1,0,0,1,0,0,0,0,0,"7,676",9.89,1
967,고양이식당,개그,0,1,0,0,0,0,0,0,0,0,25,9.87,0
968,------,개그,0,1,0,0,1,0,0,0,0,0,"5,657",9.84,0
971,극한고딩,개그,0,1,0,0,0,1,0,0,0,0,"12,623",9.89,0
972,완벽한 멍청이들,개그,0,1,0,0,0,0,0,0,0,0,"13,995",9.75,0
973,원주민 공포만화,개그,0,1,0,0,0,0,0,1,0,0,"2,106",9.78,1
974,출근했습니다,개그,0,1,0,0,0,1,0,0,0,0,"4,658",9.89,0
975,아틀레냐,개그,0,1,1,0,0,0,0,0,0,0,"12,767",9.87,0
977,본격 연애 이야기!,개그,0,1,0,0,0,1,0,0,0,0,"5,230",9.74,0
979,살인방귀,개그,0,1,0,0,0,0,0,0,0,0,"4,521",9.68,0
980,귀엽잖아,개그,0,1,0,0,0,1,0,0,0,0,"4,474",9.86,0
981,츤데레,개그,0,1,0,0,0,0,0,0,0,0,"12,304",9.87,0
982,마왕이 되는 중2야,개그,0,1,0,0,0,0,0,0,0,0,"2,850",9.88,1
983,좀비 패밀리,개그,0,1,1,0,0,0,0,0,0,0,"14,098",9.88,0
984,소녀의 마음으로,개그,0,1,0,0,1,0,0,0,0,0,"2,273",9.85,0
985,이웃집의 스토커군,개그,0,1,0,0,0,0,0,1,0,0,"2,498",9.59,0
986,청사나이,개그,0,1,0,0,1,0,0,0,0,0,"2,566",9.84,0
987,하리랑에그타르트,개그,0,1,0,0,0,0,0,0,0,0,"3,260",9.9,0
991,연애혁명,개그,0,1,0,0,1,0,0,0,0,0,"6,661",9.86,1
992,하이퍼(HYPER),개그,0,1,1,0,0,0,0,0,0,0,"1,457",9.46,0
993,-,개그,0,1,1,0,0,0,0,0,0,0,"11,724",9.89,0
994,알타고,개그,0,1,0,1,0,0,0,0,0,0,845,9.75,0
1000,달수이야기,개그,0,1,0,0,1,0,0,0,0,0,"6,620",9.86,1
1001,거미의 상자,개그,0,1,1,0,0,0,0,0,0,0,"8,612",9.9,0
1002,일어나보니 치킨,개그,0,1,1,0,0,0,0,0,0,0,"2,955",9.86,0
1003,다이어트는 내일부터,개그,0,1,0,0,0,1,0,0,0,0,"3,178",9.69,0
1005,강한사랑,개그,0,1,0,0,0,1,0,0,0,0,912,9.88,0
1009,막역지우,개그,0,1,0,0,0,1,0,0,0,0,"8,307",9.81,0
1012,나를 키워주세요,개그,0,1,1,0,0,0,0,0,0,0,"2,392",9.79,0
1014,가상&RPG,개그,0,1,1,0,0,0,0,0,0,0,"14,389",9.88,0
1015,털털하지만 괜찮아!,개그,0,1,0,0,0,1,0,0,0,0,661,9.14,0
1016,위기의 왕씨형제들,개그,0,1,0,0,0,1,0,0,0,0,"3,002",9.87,0
1023,스코칭 로맨스,개그,0,1,0,0,0,1,0,0,0,0,514,9.85,1
1024,이계리턴즈,개그,0,1,1,0,0,0,0,0,0,0,"2,319",9.85,0
1025,"용사갑,마왕을",개그,0,1,1,0,0,0,0,0,0,0,"1,675",9.88,0
1026,바퀴!,개그,0,1,0,0,0,0,0,1,0,0,659,9.52,0
1028,나의 작업실,개그,0,1,0,0,0,1,0,0,0,0,"2,773",9.85,0
1030,고민상담특별부,개그,0,1,0,0,1,0,0,0,0,0,"2,891",9.86,0
1036,지금은 여관주인!!,개그,0,1,1,0,0,0,0,0,0,0,"2,809",9.9,0
1037,꼬맹이를 부탁해!,개그,0,1,0,0,0,1,0,0,0,0,"3,433",9.89,1
1043,리부트,개그,0,1,0,1,0,0,0,0,0,0,523,9.75,0
1044,의자왕 체어맨,개그,0,1,1,0,0,0,0,0,0,0,6,9.49,0
1045,오늘은 꼭 고백할 거야!,개그,0,1,0,0,0,1,0,0,0,0,"2,820",9.88,0
1048,아더의왕국,개그,0,1,1,0,0,0,0,0,0,0,522,9.88,0
1049,당신을 사랑하고 싶습니다.,개그,0,1,0,0,0,1,0,0,0,0,636,9.74,0
1053,공략개시!!,개그,0,1,0,0,0,1,0,0,0,0,"2,670",9.88,0
1054,데일리 위치,개그,0,1,1,0,0,0,0,0,0,0,"1,533",9.85,0
1055,판타지 여동생!,개그,0,1,1,0,0,0,0,0,0,0,507,9.46,1
1056,이세계 용사랑 마왕 뭐 그런거 알잖아?,개그,0,1,1,0,0,0,0,0,0,0,"1,178",9.88,0
1058,그리고 아무 일도 없었다.,개그,0,1,0,0,0,1,0,0,0,0,"7,179",9.82,0
1059,마음을 훔치는 여자,개그,0,1,0,0,1,0,0,0,0,0,"1,129",9.71,0
1061,솔로의 연애,개그,0,1,0,0,0,1,0,0,0,0,"4,281",9.89,0
1063,마족사제,개그,0,1,1,0,0,0,0,0,0,0,"2,318",9.89,0
1064,반짝반짝 왕자님,개그,0,1,0,0,0,1,0,0,0,0,"2,261",9.89,0
1067,사소한 일로 계약,개그,0,1,1,0,0,0,0,0,0,0,"1,015",9.55,0
1069,혼자를 기르는 법,개그,0,1,0,0,0,0,1,0,0,0,"1,865",9.85,0
1071,건마왕증,개그,0,1,0,1,0,0,0,0,0,0,"4,063",9.72,0
1075,참새는 새신부!,개그,0,1,0,0,0,1,0,0,0,0,332,9.8,1
1076,쓰리스쿨즈,개그,0,1,0,1,0,0,0,0,0,0,"2,085",9.9,0
1081,포-갓,개그,0,1,1,0,0,0,0,0,0,0,"3,568",9.88,0
1082,앨리스를 위하여,개그,0,1,1,0,0,0,0,0,0,0,"2,731",9.87,0
1083,우리집에 곰이 이사왔다,개그,0,1,0,0,1,0,0,0,0,0,"2,635",9.89,1
1085,용사를 물리쳐라!,개그,0,1,1,0,0,0,0,0,0,0,"2,058",9.9,0
1087,대디보이,개그,0,1,0,0,1,0,0,0,0,0,"1,029",9.73,0
1090,디드롭스 (D.drops),개그,0,1,1,0,0,0,0,0,0,0,"1,793",9.88,0
1091,크리스마스는 쨈과 함께,개그,0,1,1,0,0,0,0,0,0,0,"1,236",9.86,0
1093,판타스틱 시니어,개그,0,1,1,0,0,0,0,0,0,0,"2,161",9.88,0
1094,컬러커플:extra,개그,0,1,0,0,0,1,0,0,0,0,"3,285",9.84,0
1096,조금 수상한 연애시뮬레이션,개그,0,1,0,0,0,1,0,0,0,0,"2,538",9.83,0
1099,가짜 좀비왕 4컷,개그,0,1,0,1,0,0,0,0,0,0,"5,186",8.76,0
1103,마왕이 상병신,개그,0,1,1,0,0,0,0,0,0,0,"3,738",9.87,0
1105,방과후 베이스볼 클럽,개그,0,1,0,0,0,0,0,0,0,1,"3,636",9.69,0
1108,마물전담부대,개그,0,1,1,0,0,0,0,0,0,0,"2,695",9.89,0
1111,어둠 속을 날아서,개그,0,1,1,0,0,0,0,0,0,0,480,9.73,0
1112,로즈관찰일기,개그,0,1,1,0,0,0,0,0,0,0,"1,136",9.75,0
1115,평범한(?) 지구인들,개그,0,1,0,0,0,0,0,0,0,0,"1,295",9.75,0
1116,있는 집 자식들,개그,0,1,0,0,1,0,0,0,0,0,"1,564",9.75,0
1120,개그잡종,개그,0,1,0,0,0,0,0,0,0,0,949,9.29,0
1122,공주님은 알바중,개그,0,1,1,0,0,0,0,0,0,0,"1,426",9.65,0
1124,구라디우스,개그,0,1,0,0,0,0,0,0,0,0,"1,799",9.68,0
1126,사랑의 헌옷수거함,개그,0,1,0,0,0,1,0,0,0,0,"3,694",9.75,1
1127,아파트용사,개그,0,1,1,0,0,0,0,0,0,0,"2,148",9.43,0
1129,성검의 홀리소드,개그,0,1,1,0,0,0,0,0,0,0,284,9.78,0
1130,오즈의 바보들,개그,0,1,1,0,0,0,0,0,0,0,"2,104",9.88,0
1132,용사·마왕·우주인,개그,0,1,1,0,0,0,0,0,0,0,"2,849",9.9,0
1133,판타지 TV,개그,0,1,1,0,0,0,0,0,0,0,"5,497",9.67,0
1134,백설녀와 나무꾼,개그,0,1,0,0,0,1,0,0,0,0,"5,105",9.87,0
1137,할짝 심리학,개그,0,1,0,0,0,0,0,0,1,0,"1,838",9.88,0
1139,촉수괴물 M,개그,0,1,0,0,1,0,0,0,0,0,"1,123",9.87,0
1141,눈치없는 내 친구!,개그,0,1,0,0,1,0,0,0,0,0,"1,551",9.77,0
1143,판타스틱! 티티우스 표류기,개그,0,1,1,0,0,0,0,0,0,0,702,9.86,0
1146,그남자 그남자의 사정,개그,0,1,0,0,1,0,0,0,0,0,869,9.82,0
1148,지켜라! 밥그릇,개그,0,1,1,0,0,0,0,0,0,0,703,9.85,0
1150,주간도시기담,개그,0,1,0,0,0,0,0,1,0,0,246,9.19,0
1151,범이올시다!,개그,0,1,0,0,0,0,0,0,1,0,"1,488",9.89,1
1152,우리집 브로콜리,개그,0,1,1,0,0,0,0,0,0,0,848,9.83,0
1153,비밀스러운 짝사랑,개그,0,1,0,0,0,1,0,0,0,0,"15,415",9.86,0
1154,오!주예수여,개그,0,1,0,0,0,1,0,0,0,0,"10,050",9.85,1
1155,203호 저승사자,개그,0,1,0,0,0,0,0,0,0,0,"2,101",9.75,1
1158,폐급 공무원,개그,0,1,0,0,0,0,1,0,0,0,139,9.55,0
1160,클라푸티 듀스,개그,0,1,0,0,0,0,0,0,0,0,966,9.84,0
1162,어쩌다 보니 용사가,개그,0,1,1,0,0,0,0,0,0,0,463,9.64,0
1163,타고난자,개그,0,1,0,0,1,0,0,0,0,0,"1,304",9.6,0
1165,용사님을 사랑한 힐러님,개그,0,1,1,0,0,0,0,0,0,0,169,9.83,0
1169,연애학,개그,0,1,0,0,0,0,1,0,0,0,847,9.32,0
1170,마스크걸,개그,0,1,0,0,0,0,0,0,0,0,"1,031",9.85,1
1171,"가라, 로봇!",개그,0,1,1,0,0,0,0,0,0,0,285,9.62,0
1172,나비를 찾아서,개그,0,1,1,0,0,0,0,0,0,0,"2,113",9.85,0
1174,갑자기판타지,개그,0,1,1,0,0,0,0,0,0,0,268,9.8,0
1176,베트남 프렌즈 여행기,개그,0,1,0,0,0,0,1,0,0,0,"3,166",9.86,0
1177,PANDEMIC,개그,0,1,1,0,0,0,0,0,0,0,"2,099",9.83,0
