À¥Å÷ Á¦¸ñ,È¸Â÷ Á¦¸ñ,È¸Â÷,Á¶È¸¼ö,È¸Â÷º° º°Á¡,º°Á¡ Âü¿©ÀÎ¿ø¼ö,ÁÁ¾Æ¿ä¼ö,´ñ±Û¼ö,Á¤½Ä¿¬Àç,Á¶È¸¼ö ´ëºñ º°Á¡Âü¿©,Á¶È¸¼ö ´ëºñ ÁÁ¾Æ¿ä,´ñ±Û¼ö ´ëºñ ±àÁ¤´ñ±Û,´ñ±Û¼ö ´ëºñ ºÎÁ¤´ñ±Û,¿¡ÇÇ¼Òµå,¿È´Ï¹ö½º,½ºÅä¸®,ÀÏ»ó,°³±×,ÆÇÅ¸Áö,¾×¼Ç,µå¶ó¸¶,¼øÁ¤,°¨¼º,½º¸±·¯,½Ã´ë±Ø,½ºÆ÷Ã÷
±Ý¼öÀú,4È­,4,775333,9.79,2193,1231,64,1,2.828462,1.587705,42.1875,4.6875,0,0,1,0,0,1,0,1,0,0,0,0,0
±Ý¼öÀú,5È­,5,738806,9.8,2384,1394,92,1,3.226828,1.886828,41.30434783,4.347826087,0,0,1,0,0,1,0,1,0,0,0,0,0
È«½Ã´Â ³¯ ÁÁ¾ÆÇØ!,1.¾È³çÇÏ¼¼¿ä! È«½Ã¿¹¿ä!,1,949982,9.89,5533,1944,838,1,5.824321,2.046355,47.7326969,1.789976134,0,0,1,0,1,0,0,0,1,0,0,0,0
È«½Ã´Â ³¯ ÁÁ¾ÆÇØ!,2.³Ê³Ä ÀÌ ±¸¿ªÀÇ ¾Ö¼ÛÀÌ°¡?,2,775822,9.88,4574,1483,102,1,5.895682,1.911521,55.88235294,0.980392157,0,0,1,0,1,0,0,0,1,0,0,0,0
È«½Ã´Â ³¯ ÁÁ¾ÆÇØ!,3.¼³·¹°Ô »ý°å¾î¿ä,3,725194,9.88,4351,1407,264,1,5.999774,1.94017,40.15151515,1.893939394,0,0,1,0,1,0,0,0,1,0,0,0,0
È«½Ã´Â ³¯ ÁÁ¾ÆÇØ!,4.³ª °ü½É°¡´Â ¾Ö »ý°å¾î,4,668354,9.87,4186,1379,106,1,6.263148,2.063278,62.26415094,0,0,0,1,0,1,0,0,0,1,0,0,0,0
È«½Ã´Â ³¯ ÁÁ¾ÆÇØ!,5.¿Ö ³¯ ¹Ð¾î³»¿ä,5,674888,9.9,5176,1558,491,1,7.669421,2.308531,46.6395112,1.629327902,0,0,1,0,1,0,0,0,1,0,0,0,0
´ëÇÐÀÏ±â,2ÇÐ±â °³°­,1,1192778,9.88,11182,5508,550,1,9.374754,4.617791,65.81818182,3.818181818,1,0,0,0,1,0,0,0,0,0,0,0,0
´ëÇÐÀÏ±â,ÈÞ°­,2,843683,9.89,10023,4130,288,1,11.880054,4.895204,62.15277778,2.430555556,1,0,0,0,1,0,0,0,0,0,0,0,0
´ëÇÐÀÏ±â,ÁÖÁ¡,3,687852,9.89,9672,3584,193,1,14.061164,5.210423,68.39378238,0.518134715,1,0,0,0,1,0,0,0,0,0,0,0,0
´ëÇÐÀÏ±â,ÁÖÁ¡2,4,597031,9.88,9065,3217,187,1,15.183466,5.38833,66.31016043,2.139037433,1,0,0,0,1,0,0,0,0,0,0,0,0
´ëÇÐÀÏ±â,Áß°£°í»ç,5,568395,9.91,10162,3904,358,1,17.878412,6.868463,69.55307263,1.396648045,1,0,0,0,1,0,0,0,0,0,0,0,0
5kgÀ» À§ÇÏ¿©,ÇÁ·Ñ·Î±×,1,540467,9.5,1848,724,409,1,3.419265,1.339582,20.29339853,3.422982885,1,0,0,1,1,0,0,0,0,0,0,0,0
5kgÀ» À§ÇÏ¿©,1È­,2,576376,9.86,1954,751,119,1,3.390148,1.302969,40.33613445,4.201680672,1,0,0,1,1,0,0,0,0,0,0,0,0
5kgÀ» À§ÇÏ¿©,2È­,3,538728,9.84,1977,734,160,1,3.669755,1.362469,36.25,1.25,1,0,0,1,1,0,0,0,0,0,0,0,0
5kgÀ» À§ÇÏ¿©,3È­,4,498215,9.88,1914,677,161,1,3.841715,1.358851,27.32919255,0.621118012,1,0,0,1,1,0,0,0,0,0,0,0,0
5kgÀ» À§ÇÏ¿©,4È­,5,476293,9.93,2081,790,443,1,4.369159,1.658643,11.06094808,2.483069977,1,0,0,1,1,0,0,0,0,0,0,0,0
ÀÌ°Íµµ Ä£±¸¶ó°í,ÇÁ·Ñ·Î±×,1,428681,9.88,2232,1878,72,1,5.206669,4.38088,51.38888889,0,1,0,0,1,1,0,0,0,0,0,0,0,0
ÀÌ°Íµµ Ä£±¸¶ó°í,1È­. Ä£±¸´Â ¾î¶»°Ô »ç±Í³ª¿ä?,2,510594,9.88,2126,1686,70,1,4.163778,3.302036,47.14285714,0,1,0,0,1,1,0,0,0,0,0,0,0,0
ÀÌ°Íµµ Ä£±¸¶ó°í,2È­. »ö¾È°æÀº ¿µÈ­°ü¿¡¼­,3,403009,9.89,2040,1588,76,1,5.061922,3.940359,60.52631579,0,1,0,0,1,1,0,0,0,0,0,0,0,0
